Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_55	1.401	0.065	0.21	0.021	1.397	0.874	55	0.05	12000	1000	1	500	111	1	0	1	75	75	0	1	0.500160307790959	43	5241.44323311365	3
Simulation_56	1.275	0.048	0.069	0.048	1.554	0.818	56	0.05	12000	1000	1	500	111	1	0	1	48	50	2	1	0.91984610452068	33	5144.44452983953	1
Simulation_57	2.281	0.093	0.195	0.121	2.809	0.365	57	0.05	12000	1000	1	500	111	1	0	1	26	26	0	1	0.123436999038153	14	4931.31740648434	1
Simulation_58	2.784	0.025	0.257	0.012	2.181	0.592	58	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5462.60512958829	1
Simulation_59	1.778	0.07	0.132	0.084	0.926	0.139	59	0.05	12000	1000	1	500	111	0	44	1	1488	1488	0	1	0.228278294325104	454	3305.63254275232	1
Simulation_60	1.527	0.014	0.226	0.066	1.868	0.252	60	0.05	12000	1000	1	500	111	1	0	1	25	26	1	0	-1	-1	6147.64914018069	3
Simulation_61	2.532	0.059	0.1	0.139	0.613	0.705	61	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1	2885.16564401909	1
Simulation_62	2.029	0.037	0.163	0.03	1.24	0.478	62	0.05	12000	1000	1	500	111	1	0	1	140	140	0	1	0.977236293683873	134	3999.78105774974	1
Simulation_63	1.024	0.082	0.289	0.103	2.495	0.931	63	0.05	12000	1000	1	500	111	0	122	1	1210	1210	0	1	0.75120230843219	525	2084.45737924007	1
Simulation_64	1.039	0.046	0.161	0.122	1.025	0.882	64	0.05	12000	1000	1	500	111	1	0	1	7	8	1	1	0.478037832638666	7	4626.6137247115	1
Simulation_65	2.045	0.091	0.287	0.049	2.279	0.429	65	0.05	12000	1000	1	500	111	1	0	1	434	434	0	0	-1	-1	7328.883647542	2
Simulation_66	2.548	0.023	0.224	0.085	2.907	0.655	66	0.05	12000	1000	1	500	111	0	22	1	2209	2236	27	0	-1	-1	7636.83064495958	5
Simulation_67	1.542	0.068	0.099	0.013	1.652	0.203	67	0.05	12000	1000	1	500	111	1	0	1	162	162	0	1	0.19814042962488	120	4974.49486322676	1
Simulation_68	1.794	0.012	0.255	0.14	2.593	0.316	68	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4913.30709882045	1
