Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_191	1.047	0.064	0.2	0.058	2.328	0.574	191	0.05	12000	1000	1	500	111	0	189	1	1508	1508	0	1	0.418082718820135	615
Simulation_192	1.031	0.028	0.1	0.041	1.132	0.737	192	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_193	2.037	0.073	0.225	0.113	2.387	0.284	193	0.05	12000	1000	1	500	111	1	0	1	57	57	0	1	0.197499198461045	22
Simulation_194	2.54	0.05	0.161	0.077	1.76	0.963	194	0.05	12000	1000	1	500	111	1	0	1	2	3	1	1	0.10965052901571	2
Simulation_195	1.534	0.096	0.289	0.15	0.505	0.51	195	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_196	1.786	0.039	0.131	0.022	2.074	0.397	196	0.05	12000	1000	1	500	111	1	0	1	8	8	0	0	-1	-1
Simulation_197	2.792	0.084	0.256	0.095	0.819	0.85	197	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.518114780378326	2
Simulation_198	2.289	0.016	0.067	0.059	1.446	0.171	198	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_199	1.283	0.062	0.194	0.132	2.701	0.623	199	0.05	12000	1000	1	500	111	0	88	1	1447	1450	3	1	0.897082398204553	696
Simulation_200	1.409	0.045	0.147	0.086	2.544	0.567	200	0.05	12000	1000	1	500	111	0	5	1	2422	2424	2	1	0.610452067970503	1547
Simulation_201	2.415	0.09	0.272	0.013	1.289	0.114	201	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.134337928823341	8
Simulation_202	2.917	0.022	0.083	0.122	0.662	0.793	202	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_203	1.912	0.067	0.208	0.05	1.917	0.34	203	0.05	12000	1000	1	500	111	1	0	1	26	26	0	1	0.136261622314845	15
Simulation_204	1.66	0.011	0.053	0.104	0.975	0.454	204	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_205	2.666	0.056	0.178	0.031	2.23	0.906	205	0.05	12000	1000	1	500	111	1	0	1	29	30	1	1	0.843860211606284	21
Simulation_206	2.163	0.033	0.114	0.141	2.858	0.227	206	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_207	1.157	0.079	0.242	0.068	1.603	0.68	207	0.05	12000	1000	1	500	111	0	77	1	1264	1264	0	1	0.536389868547611	510
Simulation_208	1.22	0.036	0.122	0.054	0.583	0.935	208	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.211285668483488	2
Simulation_209	2.226	0.081	0.247	0.127	1.838	0.482	209	0.05	12000	1000	1	500	111	1	0	1	479	479	0	1	0.463930747034306	227
Simulation_210	2.729	0.014	0.061	0.018	2.466	0.708	210	0.05	12000	1000	1	500	111	1	0	1	44	44	0	0	-1	-1
Simulation_211	1.723	0.059	0.186	0.091	1.211	0.256	211	0.05	12000	1000	1	500	111	1	0	1	1580	1580	0	1	0.297531260019237	93
Simulation_212	1.974	0.025	0.092	0.072	2.779	0.142	212	0.05	12000	1000	1	500	111	1	0	1	25	25	0	0	-1	-1
Simulation_213	2.98	0.07	0.217	0.145	1.525	0.595	213	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_214	2.477	0.047	0.153	0.036	0.897	0.369	214	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.806027572940045	11
Simulation_215	1.472	0.093	0.281	0.109	2.152	0.821	215	0.05	12000	1000	1	500	111	1	0	1	620	620	0	1	0.90798332798974	363
Simulation_216	1.346	0.019	0.075	0.136	1.995	0.878	216	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_217	2.352	0.064	0.2	0.063	0.74	0.425	217	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.0782302019878166	4
Simulation_218	2.855	0.042	0.139	0.1	1.368	0.652	218	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_219	1.849	0.087	0.264	0.027	2.623	0.199	219	0.05	12000	1000	1	500	111	0	94	1	1239	1239	0	1	0.151971785828791	508
Simulation_220	1.597	0.053	0.169	0.118	1.681	0.312	220	0.05	12000	1000	1	500	111	1	0	1	51	52	1	1	0.255210003206156	42
Simulation_221	2.603	0.098	0.294	0.045	2.936	0.765	221	0.05	12000	1000	1	500	111	1	0	1	77	77	0	1	0.137223469060596	52
Simulation_222	2.1	0.031	0.108	0.081	2.309	0.539	222	0.05	12000	1000	1	500	111	1	0	1	68	68	0	0	-1	-1
Simulation_223	1.094	0.076	0.233	0.009	1.054	0.991	223	0.05	12000	1000	1	500	111	1	0	1	9	10	1	1	0.115421609490221	7
Simulation_224	1.063	0.052	0.167	0.102	2.897	0.157	224	0.05	12000	1000	1	500	111	1	0	1	607	609	2	1	0.193331195896121	536
Simulation_225	2.069	0.097	0.292	0.029	1.642	0.609	225	0.05	12000	1000	1	500	111	1	0	1	915	916	1	1	0.919525488938762	487
Simulation_226	2.572	0.029	0.103	0.138	1.015	0.383	226	0.05	12000	1000	1	500	111	1	0	1	294	301	7	1	0.0320615581917281	9
Simulation_227	1.566	0.074	0.228	0.066	2.27	0.836	227	0.05	12000	1000	1	500	111	1	0	1	738	738	0	1	0.672010259698621	341
Simulation_228	1.817	0.018	0.072	0.084	0.701	0.949	228	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.203270278935556	3
Simulation_229	2.823	0.063	0.197	0.011	1.956	0.496	229	0.05	12000	1000	1	500	111	1	0	1	144	144	0	1	0.938441808271882	82
Simulation_230	2.32	0.04	0.133	0.12	2.583	0.722	230	0.05	12000	1000	1	500	111	1	0	1	214	214	0	1	0.975953831356204	168
Simulation_231	1.314	0.086	0.261	0.047	1.328	0.27	231	0.05	12000	1000	1	500	111	0	172	1	1575	1575	0	1	0.158704713049054	464
Simulation_232	1.44	0.023	0.086	0.02	1.485	0.213	232	0.05	12000	1000	1	500	111	1	0	1	25	25	0	0	-1	-1
Simulation_233	2.446	0.069	0.214	0.093	2.74	0.666	233	0.05	12000	1000	1	500	111	1	0	1	94	94	0	1	0.104520679705034	50
Simulation_234	2.949	0.046	0.15	0.056	2.113	0.439	234	0.05	12000	1000	1	500	111	1	0	1	39	39	0	1	0.276370631612696	24
Simulation_235	1.943	0.091	0.275	0.129	0.858	0.892	235	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_236	1.692	0.035	0.119	0.038	1.799	0.779	236	0.05	12000	1000	1	500	111	1	0	1	575	576	1	1	0.995831997435075	570
Simulation_237	2.697	0.08	0.244	0.111	0.544	0.326	237	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.513626162231484	2
Simulation_238	2.194	0.012	0.056	0.075	1.172	0.553	238	0.05	12000	1000	1	500	111	1	0	1	99	113	14	0	-1	-1
Simulation_239	1.189	0.057	0.181	0.147	2.426	0.1	239	0.05	12000	1000	1	500	111	1	0	1	20	20	0	1	0.182430266110933	20
Simulation_240	1.126	0.015	0.064	0.116	2.348	0.355	240	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_241	2.132	0.06	0.189	0.043	1.093	0.807	241	0.05	12000	1000	1	500	111	1	0	1	13	13	0	1	0.527733247835845	9
Simulation_242	2.635	0.038	0.128	0.079	1.721	0.128	242	0.05	12000	1000	1	500	111	1	0	1	104	104	0	1	0.180506572619429	93
Simulation_243	1.629	0.083	0.253	0.006	2.975	0.581	243	0.05	12000	1000	1	500	111	1	0	1	240	240	0	1	0.241102917601795	100
Simulation_244	1.88	0.049	0.158	0.134	1.407	0.694	244	0.05	12000	1000	1	500	111	0	29	1	1601	1608	7	1	0.91631933311959	516
Simulation_245	2.886	0.094	0.283	0.061	2.662	0.241	245	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_246	2.383	0.026	0.094	0.097	2.034	0.92	246	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_247	1.377	0.072	0.222	0.025	0.779	0.468	247	0.05	12000	1000	1	500	111	1	0	1	112	112	0	1	0.700224430907342	68
Simulation_248	1.251	0.043	0.142	0.07	0.936	0.524	248	0.05	12000	1000	1	500	111	1	0	1	143	147	4	1	0.921769798012183	143
Simulation_249	2.257	0.089	0.269	0.143	2.191	0.977	249	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.27476755370311	2
Simulation_250	2.76	0.021	0.081	0.034	2.819	0.298	250	0.05	12000	1000	1	500	111	1	0	1	4	4	0	0	-1	-1
Simulation_251	1.754	0.066	0.206	0.106	1.564	0.751	251	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_252	1.503	0.032	0.111	0.052	2.505	0.638	252	0.05	12000	1000	1	500	111	1	0	1	129	131	2	1	0.0310997114459763	3
Simulation_253	2.509	0.077	0.236	0.125	1.25	0.185	253	0.05	12000	1000	1	500	111	1	0	1	230	230	0	1	0.13209361974992	109
Simulation_254	2.006	0.055	0.175	0.016	0.623	0.864	254	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.371272843860212	2
Simulation_255	1	0.1	0.3	0.088	1.877	0.411	255	0.05	12000	1000	1	500	111	0	141	1	1596	1596	0	1	0.173132414235332	479
Simulation_256	1.004	0.055	0.175	0.046	2.588	0.979	256	0.05	12000	1000	1	500	111	0	172	1	1862	1862	0	1	0.928502725232446	367
Simulation_257	2.01	0.1	0.3	0.119	1.333	0.526	257	0.05	12000	1000	1	500	111	1	0	1	177	177	0	1	0.60019236934915	109
Simulation_258	2.513	0.032	0.111	0.01	0.706	0.752	258	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.288554023725553	3
Simulation_259	1.507	0.077	0.236	0.082	1.961	0.3	259	0.05	12000	1000	1	500	111	0	84	1	1436	1436	0	1	0.151971785828791	448
Simulation_260	1.758	0.021	0.081	0.064	1.02	0.187	260	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_261	2.764	0.066	0.206	0.137	2.275	0.639	261	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.0766271240782302	4
Simulation_262	2.261	0.043	0.142	0.028	2.902	0.413	262	0.05	12000	1000	1	500	111	1	0	1	35	35	0	0	-1	-1
Simulation_263	1.255	0.089	0.269	0.101	1.647	0.866	263	0.05	12000	1000	1	500	111	1	0	1	57	57	0	1	0.218980442449503	38
Simulation_264	1.381	0.026	0.094	0.146	1.176	0.809	264	0.05	12000	1000	1	500	111	1	0	1	17	17	0	1	0.16864379608849	17
Simulation_265	2.387	0.072	0.222	0.073	2.431	0.356	265	0.05	12000	1000	1	500	111	1	0	1	200	200	0	1	0.105803142032703	78
Simulation_266	2.89	0.049	0.158	0.11	1.804	0.583	266	0.05	12000	1000	1	500	111	1	0	1	14	14	0	1	0.948380891311318	13
Simulation_267	1.884	0.094	0.283	0.037	0.549	0.13	267	0.05	12000	1000	1	500	111	1	0	1	944	944	0	1	1	520
Simulation_268	1.633	0.038	0.128	0.128	2.118	0.243	268	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_269	2.639	0.083	0.253	0.055	0.863	0.696	269	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_270	2.136	0.015	0.064	0.091	1.49	0.47	270	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_271	1.13	0.06	0.189	0.019	2.745	0.922	271	0.05	12000	1000	1	500	111	0	155	1	2074	2074	0	1	0.816287271561398	384
Simulation_272	1.193	0.012	0.056	0.023	2.039	0.668	272	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_273	2.198	0.058	0.183	0.096	0.784	0.215	273	0.05	12000	1000	1	500	111	1	0	1	122	122	0	1	0.332798974030138	70
Simulation_274	2.701	0.035	0.119	0.06	1.412	0.894	274	0.05	12000	1000	1	500	111	1	0	1	6	6	0	1	0.421609490221225	6
Simulation_275	1.695	0.08	0.244	0.132	2.667	0.441	275	0.05	12000	1000	1	500	111	0	57	1	1254	1254	0	1	0.173453029817249	439
Simulation_276	1.947	0.046	0.15	0.005	1.725	0.328	276	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_277	2.953	0.092	0.278	0.078	2.98	0.781	277	0.05	12000	1000	1	500	111	1	0	1	253	253	0	1	0.14267393395319	153
Simulation_278	2.45	0.024	0.089	0.041	2.353	0.102	278	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_279	1.444	0.069	0.214	0.114	1.098	0.554	279	0.05	12000	1000	1	500	111	1	0	1	199	200	1	1	0.982366142994549	87
Simulation_280	1.318	0.041	0.136	0.087	0.627	0.611	280	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.297531260019237	4
Simulation_281	2.324	0.086	0.261	0.014	1.882	0.158	281	0.05	12000	1000	1	500	111	1	0	1	35	35	0	1	0.130811157422251	27
Simulation_282	2.827	0.018	0.072	0.123	2.51	0.837	282	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_283	1.821	0.063	0.197	0.05	1.255	0.385	283	0.05	12000	1000	1	500	111	1	0	1	217	217	0	1	0.71112536069253	116
Simulation_284	1.57	0.029	0.103	0.105	2.824	0.498	284	0.05	12000	1000	1	500	111	1	0	1	5	5	0	0	-1	-1
Simulation_285	2.576	0.075	0.231	0.032	1.569	0.95	285	0.05	12000	1000	1	500	111	1	0	1	13	13	0	1	0.105161910868868	10
Simulation_286	2.073	0.052	0.167	0.141	0.941	0.272	286	0.05	12000	1000	1	500	111	0	6	1	1680	1681	1	1	0.930105803142033	688
Simulation_287	1.067	0.097	0.292	0.069	2.196	0.724	287	0.05	12000	1000	1	500	111	0	172	1	1249	1249	0	1	0.17569733889067	455
Simulation_288	1.098	0.031	0.108	0.13	1.451	0.427	288	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_289	2.104	0.076	0.233	0.057	2.706	0.88	289	0.05	12000	1000	1	500	111	1	0	1	135	135	0	1	0.121192689964732	70
Simulation_290	2.607	0.053	0.169	0.094	2.078	0.201	290	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.176338570054505	8
Simulation_291	1.601	0.099	0.297	0.021	0.824	0.653	291	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.60019236934915	3
Simulation_292	1.853	0.042	0.139	0.148	1.765	0.767	292	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.0375120230843219	3
Simulation_293	2.859	0.087	0.264	0.076	0.51	0.314	293	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.625200384738698	5
Simulation_294	2.356	0.019	0.075	0.112	1.137	0.993	294	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1
Simulation_295	1.35	0.065	0.203	0.039	2.392	0.54	295	0.05	12000	1000	1	500	111	0	206	1	1892	1892	0	1	0.0868868226995832	11
Simulation_296	1.475	0.048	0.156	0.066	2.863	0.484	296	0.05	12000	1000	1	500	111	1	0	1	180	180	0	1	0.213529977556909	139
Simulation_297	2.481	0.093	0.281	0.139	1.608	0.936	297	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_298	2.984	0.025	0.092	0.03	0.98	0.257	298	0.05	12000	1000	1	500	111	1	0	1	1596	1597	1	0	-1	-1
Simulation_299	1.978	0.07	0.217	0.103	2.235	0.71	299	0.05	12000	1000	1	500	111	1	0	1	293	293	0	1	0.859570375120231	147
Simulation_300	1.727	0.014	0.061	0.048	0.667	0.597	300	0.05	12000	1000	1	500	111	1	0	1	15	19	4	1	0.25713369669766	15
Simulation_301	2.733	0.059	0.186	0.121	1.922	0.144	301	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_302	2.23	0.036	0.122	0.012	2.549	0.823	302	0.05	12000	1000	1	500	111	1	0	1	917	918	1	1	0.412632253927541	135
Simulation_303	1.224	0.082	0.25	0.085	1.294	0.371	303	0.05	12000	1000	1	500	111	0	103	1	1337	1337	0	1	0.162872715613979	479
Simulation_304	1.161	0.034	0.117	0.107	0.902	0.116	304	0.05	12000	1000	1	500	111	0	52	1	1601	1692	91	0	-1	-1
Simulation_305	2.167	0.079	0.242	0.035	2.157	0.569	305	0.05	12000	1000	1	500	111	1	0	1	709	709	0	1	0.433472266752164	318
Simulation_306	2.67	0.011	0.053	0.144	2.784	0.342	306	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_307	1.664	0.056	0.178	0.071	1.529	0.795	307	0.05	12000	1000	1	500	111	1	0	1	74	74	0	1	0.894196857967297	35
Simulation_308	1.916	0.022	0.083	0.089	2.471	0.908	308	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_309	2.921	0.067	0.208	0.016	1.216	0.455	309	0.05	12000	1000	1	500	111	1	0	1	38	38	0	1	0.0929785187560115	12
Simulation_310	2.418	0.045	0.147	0.126	0.588	0.682	310	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_311	1.413	0.09	0.272	0.053	1.843	0.229	311	0.05	12000	1000	1	500	111	0	120	1	1180	1180	0	1	0.161269637704392	416
Simulation_312	1.287	0.017	0.069	0.007	2.314	0.286	312	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_313	2.293	0.062	0.194	0.08	1.059	0.738	313	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.0811157422250721	3
Simulation_314	2.796	0.039	0.131	0.044	1.686	0.512	314	0.05	12000	1000	1	500	111	1	0	1	27	27	0	1	0.53895479320295	20
Simulation_315	1.79	0.084	0.256	0.116	2.941	0.965	315	0.05	12000	1000	1	500	111	1	0	1	25	25	0	1	0.109971144597627	14
Simulation_316	1.538	0.05	0.161	0.025	1.373	0.851	316	0.05	12000	1000	1	500	111	1	0	1	688	688	0	1	0.753767233087528	289
Simulation_317	2.544	0.096	0.289	0.098	2.627	0.399	317	0.05	12000	1000	1	500	111	1	0	1	199	199	0	1	0.144918243026611	128
Simulation_318	2.041	0.028	0.1	0.062	2	0.625	318	0.05	12000	1000	1	500	111	1	0	1	665	671	6	1	0.357806989419686	272
Simulation_319	1.035	0.073	0.225	0.135	0.745	0.172	319	0.05	12000	1000	1	500	111	0	165	1	1417	1419	2	1	0.426098108368067	467
Simulation_320	1.051	0.019	0.075	0.081	2.725	0.236	320	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1
Simulation_321	2.057	0.064	0.2	0.008	1.471	0.689	321	0.05	12000	1000	1	500	111	1	0	1	746	746	0	1	0.839050977877525	257
Simulation_322	2.56	0.041	0.136	0.118	0.843	0.462	322	0.05	12000	1000	1	500	111	1	0	1	51	51	0	1	0.411670407181789	26
Simulation_323	1.554	0.087	0.264	0.045	2.098	0.915	323	0.05	12000	1000	1	500	111	1	0	1	131	131	0	1	0.466495671689644	80
Simulation_324	1.806	0.053	0.169	0.099	0.529	0.802	324	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.558191728117987	12
Simulation_325	2.811	0.098	0.294	0.027	1.784	0.349	325	0.05	12000	1000	1	500	111	1	0	1	75	75	0	1	0.149086245591536	38
Simulation_326	2.308	0.03	0.106	0.136	2.412	0.576	326	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_327	1.303	0.075	0.231	0.063	1.157	0.123	327	0.05	12000	1000	1	500	111	0	161	1	1512	1512	0	1	0.157101635139468	347
Simulation_328	1.428	0.036	0.122	0.036	1.627	0.18	328	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1
Simulation_329	2.434	0.081	0.247	0.108	2.882	0.632	329	0.05	12000	1000	1	500	111	1	0	1	281	281	0	1	0.121192689964732	159
Simulation_330	2.937	0.013	0.058	0.072	2.255	0.406	330	0.05	12000	1000	1	500	111	1	0	1	4	5	1	0	-1	-1
Simulation_331	1.931	0.058	0.183	0.145	1	0.859	331	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.0692529656941327	2
Simulation_332	1.68	0.024	0.089	0.018	1.941	0.972	332	0.05	12000	1000	1	500	111	1	0	1	61	63	2	0	-1	-1
Simulation_333	2.686	0.07	0.217	0.09	0.686	0.519	333	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_334	2.183	0.047	0.153	0.054	1.314	0.745	334	0.05	12000	1000	1	500	111	1	0	1	6	6	0	1	0.630009618467458	6
Simulation_335	1.177	0.092	0.278	0.127	2.569	0.293	335	0.05	12000	1000	1	500	111	0	66	1	1203	1203	0	1	0.164155177941648	416
Simulation_336	1.24	0.044	0.144	0.14	2.176	0.547	336	0.05	12000	1000	1	500	111	0	176	1	2439	2442	3	1	0.193010580314203	71
Simulation_337	2.246	0.089	0.269	0.068	0.922	1	337	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.554344341134979	2
Simulation_338	2.749	0.021	0.081	0.104	1.549	0.321	338	0.05	12000	1000	1	500	111	1	0	1	20	20	0	0	-1	-1
Simulation_339	1.743	0.067	0.208	0.031	2.804	0.774	339	0.05	12000	1000	1	500	111	1	0	1	154	154	0	1	0.801538954793203	55
Simulation_340	1.994	0.01	0.05	0.122	1.235	0.661	340	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_341	3	0.055	0.175	0.049	2.49	0.208	341	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.188201346585444	7
Simulation_342	2.497	0.033	0.114	0.086	1.863	0.887	342	0.05	12000	1000	1	500	111	1	0	1	50	50	0	1	0.608207758897082	50
Simulation_343	1.491	0.078	0.239	0.013	0.608	0.434	343	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_344	1.365	0.027	0.097	0.058	1.078	0.378	344	0.05	12000	1000	1	500	111	0	32	1	1829	1860	31	1	0.176979801218339	537
Simulation_345	2.371	0.072	0.222	0.131	2.333	0.83	345	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.0791920487335685	3
Simulation_346	2.874	0.05	0.161	0.022	2.961	0.151	346	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_347	1.868	0.095	0.286	0.095	1.706	0.604	347	0.05	12000	1000	1	500	111	1	0	1	478	478	0	1	0.482205835203591	250
Simulation_348	1.617	0.038	0.128	0.077	2.647	0.717	348	0.05	12000	1000	1	500	111	0	24	1	3448	3452	4	1	0.645719781981404	299
Simulation_349	2.623	0.084	0.256	0.149	1.392	0.264	349	0.05	12000	1000	1	500	111	1	0	1	81	81	0	1	0.125681308111574	46
Simulation_350	2.12	0.016	0.067	0.04	0.765	0.943	350	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.250400769477397	7
Simulation_351	1.114	0.061	0.192	0.113	2.02	0.491	351	0.05	12000	1000	1	500	111	0	110	1	1618	1618	0	1	0.429304264187239	598
Simulation_352	1.083	0.043	0.142	0.015	1.353	0.561	352	0.05	12000	1000	1	500	111	0	132	1	2821	2834	13	1	0.648925937800577	1395
Simulation_353	2.088	0.088	0.267	0.088	2.608	0.109	353	0.05	12000	1000	1	500	111	1	0	1	580	580	0	1	0.132734850913754	287
Simulation_354	2.591	0.02	0.078	0.052	1.98	0.788	354	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_355	1.585	0.065	0.203	0.124	0.725	0.335	355	0.05	12000	1000	1	500	111	1	0	1	122	123	1	1	0.999358768836165	78
Simulation_356	1.837	0.031	0.108	0.033	2.294	0.448	356	0.05	12000	1000	1	500	111	1	0	1	181	182	1	0	-1	-1
Simulation_357	2.843	0.077	0.236	0.106	1.039	0.901	357	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_358	2.34	0.054	0.172	0.07	1.667	0.222	358	0.05	12000	1000	1	500	111	1	0	1	67	67	0	1	0.185315806348189	54
Simulation_359	1.334	0.099	0.297	0.143	2.922	0.675	359	0.05	12000	1000	1	500	111	0	48	1	1200	1201	1	1	0.256813081115742	539
Simulation_360	1.46	0.014	0.061	0.097	2.451	0.731	360	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_361	2.466	0.06	0.189	0.024	1.196	0.279	361	0.05	12000	1000	1	500	111	1	0	1	231	231	0	1	0.679705033664636	76
Simulation_362	2.969	0.037	0.125	0.134	0.569	0.958	362	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_363	1.963	0.082	0.25	0.061	1.824	0.505	363	0.05	12000	1000	1	500	111	0	51	1	1165	1165	0	1	0.152613016992626	516
Simulation_364	1.711	0.048	0.156	0.079	0.882	0.392	364	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.731644757935236	11
Simulation_365	2.717	0.094	0.283	0.006	2.137	0.844	365	0.05	12000	1000	1	500	111	1	0	1	158	158	0	1	0.575825585123437	93
Simulation_366	2.214	0.026	0.094	0.115	2.765	0.165	366	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_367	1.208	0.071	0.219	0.043	1.51	0.618	367	0.05	12000	1000	1	500	111	0	124	1	1378	1378	0	1	0.757935235652453	437
Simulation_368	1.145	0.023	0.086	0.074	0.804	0.873	368	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.159987175376723	2
Simulation_369	2.151	0.068	0.211	0.147	2.059	0.42	369	0.05	12000	1000	1	500	111	1	0	1	54	54	0	1	0.0965052901571016	26
Simulation_370	2.654	0.046	0.15	0.038	2.686	0.646	370	0.05	12000	1000	1	500	111	1	0	1	101	101	0	1	0.961846745751844	34
Simulation_371	1.648	0.091	0.275	0.111	1.431	0.194	371	0.05	12000	1000	1	500	111	1	0	1	881	881	0	1	0.134979159987175	384
Simulation_372	1.9	0.034	0.117	0.056	3	0.307	372	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1
Simulation_373	2.906	0.079	0.242	0.129	1.745	0.76	373	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.0993908303943572	3
Simulation_374	2.403	0.012	0.056	0.02	1.118	0.533	374	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_375	1.397	0.057	0.181	0.093	2.373	0.986	375	0.05	12000	1000	1	500	111	1	0	1	50	51	1	1	0.851875601154216	27
Simulation_376	1.271	0.051	0.164	0.12	1.902	0.929	376	0.05	12000	1000	1	500	111	0	8	1	1551	1555	4	1	0.940686117345303	520
Simulation_377	2.277	0.096	0.289	0.047	0.647	0.477	377	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.58961205514588	2
Simulation_378	2.78	0.029	0.103	0.083	1.275	0.703	378	0.05	12000	1000	1	500	111	1	0	1	28	28	0	1	0.687399807630651	28
Simulation_379	1.774	0.074	0.228	0.011	2.529	0.25	379	0.05	12000	1000	1	500	111	1	0	1	159	159	0	1	0.111253606925297	68
Simulation_380	1.523	0.017	0.069	0.138	1.588	0.137	380	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_381	2.528	0.063	0.197	0.065	2.843	0.59	381	0.05	12000	1000	1	500	111	1	0	1	280	280	0	1	0.328951587047131	137
Simulation_382	2.026	0.04	0.133	0.102	2.216	0.363	382	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
