Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events
Simulation_65	2.045	0.091	0.275	0.049	2.279	0.429	65	12000	1000	1	500	111	0	4620	1	4455	4455	0
Simulation_66	2.548	0.023	0.086	0.085	2.907	0.655	66	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_67	1.542	0.068	0.211	0.013	1.652	0.203	67	12000	1000	1	500	111	1	0	1	3	3	0
Simulation_68	1.794	0.012	0.056	0.14	2.593	0.316	68	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_69	2.8	0.057	0.181	0.067	1.338	0.768	69	12000	1000	1	500	111	0	3976	1	1743	1744	1
Simulation_70	2.297	0.034	0.117	0.104	0.711	0.542	70	12000	1000	1	500	111	0	3432	1	1217	1231	14
Simulation_71	1.291	0.08	0.244	0.031	1.966	0.995	71	12000	1000	1	500	111	0	4379	1	1734	1737	3
Simulation_72	1.417	0.029	0.103	0.076	2.123	0.938	72	12000	1000	1	500	111	0	4670	1	3655	3721	66
Simulation_73	2.422	0.074	0.228	0.149	0.868	0.485	73	12000	1000	1	500	111	0	4348	1	2333	2333	0
Simulation_74	2.925	0.051	0.164	0.04	1.495	0.712	74	12000	1000	1	500	111	0	4331	1	2037	2092	55
Simulation_75	1.919	0.097	0.292	0.113	2.75	0.259	75	12000	1000	1	500	111	0	2286	1	1423	1448	25
Simulation_76	1.668	0.04	0.133	0.058	1.181	0.146	76	12000	1000	1	500	111	0	4739	1	1632	1632	0
Simulation_77	2.674	0.085	0.258	0.131	2.436	0.599	77	12000	1000	1	500	111	0	4557	1	5347	5350	3
Simulation_78	2.171	0.017	0.069	0.022	1.809	0.372	78	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_79	1.165	0.063	0.197	0.095	0.554	0.825	79	12000	1000	1	500	111	0	2862	1	1030	1030	0
Simulation_80	1.228	0.02	0.078	0.099	1.73	0.57	80	12000	1000	1	500	111	0	4813	1	5853	6195	342
Simulation_81	2.234	0.066	0.206	0.026	2.985	0.118	81	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_82	2.737	0.043	0.142	0.136	2.358	0.797	82	12000	1000	1	500	111	0	4639	1	4075	4102	27
Simulation_83	1.731	0.088	0.267	0.063	1.103	0.344	83	12000	1000	1	500	111	0	4709	1	4210	4366	156
Simulation_84	1.982	0.054	0.172	0.081	2.044	0.457	84	12000	1000	1	500	111	0	4756	1	4155	4236	81
Simulation_85	2.988	0.099	0.297	0.008	0.789	0.91	85	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_86	2.485	0.032	0.111	0.117	1.417	0.231	86	12000	1000	1	500	111	0	4042	1	3648	3672	24
Simulation_87	1.479	0.077	0.236	0.045	2.672	0.683	87	12000	1000	1	500	111	0	4718	1	3927	4136	209
Simulation_88	1.354	0.037	0.125	0.017	2.828	0.74	88	12000	1000	1	500	111	0	4751	1	2902	3075	173
Simulation_89	2.36	0.082	0.25	0.09	1.574	0.287	89	12000	1000	1	500	111	0	4687	1	4848	4853	5
Simulation_90	2.862	0.015	0.064	0.054	0.946	0.966	90	12000	1000	1	500	111	0	4421	1	1858	1981	123
Simulation_91	1.857	0.06	0.189	0.126	2.201	0.514	91	12000	1000	1	500	111	0	4746	1	6635	6805	170
Simulation_92	1.605	0.026	0.094	0.035	0.632	0.401	92	12000	1000	1	500	111	0	4406	1	1628	1841	213
Simulation_93	2.611	0.071	0.219	0.108	1.887	0.853	93	12000	1000	1	500	111	0	4226	1	2021	2024	3
Simulation_94	2.108	0.049	0.158	0.072	2.515	0.174	94	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_95	1.102	0.094	0.283	0.145	1.26	0.627	95	12000	1000	1	500	111	0	4720	1	3063	3068	5
Simulation_96	1.071	0.022	0.083	0.056	1.77	0.528	96	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_97	2.077	0.067	0.208	0.129	0.515	0.981	97	12000	1000	1	500	111	0	3034	1	1052	1053	1
Simulation_98	2.58	0.044	0.144	0.02	1.142	0.302	98	12000	1000	1	500	111	0	4673	1	2359	2421	62
Simulation_99	1.574	0.09	0.272	0.092	2.397	0.754	99	12000	1000	1	500	111	0	4656	1	3169	3188	19
Simulation_100	1.825	0.033	0.114	0.074	1.456	0.641	100	12000	1000	1	500	111	0	4682	1	4314	4446	132
Simulation_101	2.831	0.078	0.239	0.147	2.711	0.188	101	12000	1000	1	500	111	0	4249	1	1496	1509	13
Simulation_102	2.328	0.01	0.05	0.038	2.083	0.867	102	12000	1000	1	500	111	0	4539	1	3758	3950	192
Simulation_103	1.322	0.056	0.178	0.11	0.828	0.415	103	12000	1000	1	500	111	0	4715	1	4188	4254	66
Simulation_104	1.448	0.05	0.161	0.138	0.672	0.358	104	12000	1000	1	500	111	0	4498	1	3020	3044	24
Simulation_105	2.454	0.095	0.286	0.065	1.926	0.811	105	12000	1000	1	500	111	0	4366	1	1805	1815	10
Simulation_106	2.957	0.027	0.097	0.101	2.554	0.132	106	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_107	1.951	0.073	0.225	0.029	1.299	0.584	107	12000	1000	1	500	111	0	4551	1	1843	1872	29
Simulation_108	1.699	0.016	0.067	0.12	2.868	0.698	108	12000	1000	1	500	111	0	4807	1	3808	4071	263
Simulation_109	2.705	0.061	0.192	0.047	1.613	0.245	109	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_110	2.202	0.039	0.131	0.083	0.985	0.924	110	12000	1000	1	500	111	0	905	1	1089	1111	22
Simulation_111	1.196	0.084	0.256	0.01	2.24	0.471	111	12000	1000	1	500	111	0	4806	1	4465	4508	43
Simulation_112	1.134	0.041	0.136	0.033	2.475	0.217	112	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_113	2.139	0.087	0.264	0.106	1.221	0.669	113	12000	1000	1	500	111	0	4486	1	1640	1642	2
Simulation_114	2.642	0.019	0.075	0.07	0.593	0.443	114	12000	1000	1	500	111	0	4266	1	1920	1999	79
Simulation_115	1.637	0.064	0.2	0.142	1.848	0.896	115	12000	1000	1	500	111	0	4468	1	2796	2806	10
Simulation_116	1.888	0.03	0.106	0.015	0.907	0.783	116	12000	1000	1	500	111	0	3945	1	1487	1572	85
Simulation_117	2.894	0.075	0.231	0.088	2.162	0.33	117	12000	1000	1	500	111	0	1664	1	1965	2027	62
Simulation_118	2.391	0.053	0.169	0.051	2.789	0.556	118	12000	1000	1	500	111	0	4591	1	4110	4119	9
Simulation_119	1.385	0.098	0.294	0.124	1.534	0.104	119	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_120	1.259	0.013	0.058	0.079	1.377	0.16	120	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_121	2.265	0.058	0.183	0.006	2.632	0.613	121	12000	1000	1	500	111	0	4622	1	2989	3059	70
Simulation_122	2.768	0.036	0.122	0.115	2.005	0.386	122	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_123	1.762	0.081	0.247	0.042	0.75	0.839	123	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_124	1.511	0.047	0.153	0.097	2.319	0.952	124	12000	1000	1	500	111	0	4354	1	3406	3444	38
Simulation_125	2.517	0.092	0.278	0.024	1.064	0.5	125	12000	1000	1	500	111	0	4555	1	1495	1501	6
Simulation_126	2.014	0.024	0.089	0.133	1.691	0.726	126	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_127	1.008	0.07	0.217	0.06	2.946	0.273	127	12000	1000	1	500	111	0	4027	1	1066	1068	2
Simulation_128	1.016	0.04	0.133	0.142	1.662	0.475	128	12000	1000	1	500	111	0	4832	1	8011	8047	36
Simulation_129	2.022	0.085	0.258	0.069	2.917	0.928	129	12000	1000	1	500	111	0	4331	1	1867	1871	4
Simulation_130	2.525	0.017	0.069	0.105	2.289	0.249	130	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_131	1.519	0.062	0.194	0.033	1.034	0.701	131	12000	1000	1	500	111	0	4003	1	1471	1475	4
Simulation_132	1.77	0.028	0.1	0.124	1.975	0.588	132	12000	1000	1	500	111	0	4802	1	3337	3409	72
Simulation_133	2.776	0.074	0.228	0.051	0.721	0.135	133	12000	1000	1	500	111	0	4571	1	5004	5072	68
Simulation_134	2.273	0.051	0.164	0.087	1.348	0.814	134	12000	1000	1	500	111	0	4281	1	2802	2814	12
Simulation_135	1.267	0.096	0.289	0.014	2.603	0.362	135	12000	1000	1	500	111	0	3412	1	1011	1011	0
Simulation_136	1.393	0.011	0.053	0.042	2.76	0.418	136	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_137	2.399	0.057	0.181	0.114	1.505	0.871	137	12000	1000	1	500	111	0	3989	1	2232	2237	5
Simulation_138	2.902	0.034	0.117	0.005	0.877	0.192	138	12000	1000	1	500	111	0	4608	1	3712	3843	131
Simulation_139	1.896	0.079	0.242	0.078	2.132	0.645	139	12000	1000	1	500	111	0	4669	1	3986	4037	51
Simulation_140	1.644	0.045	0.147	0.06	0.564	0.758	140	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_141	2.65	0.091	0.275	0.133	1.819	0.305	141	12000	1000	1	500	111	0	4047	1	5657	5658	1
Simulation_142	2.147	0.023	0.086	0.023	2.446	0.984	142	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_143	1.141	0.068	0.211	0.096	1.191	0.531	143	12000	1000	1	500	111	0	4753	1	4982	5047	65
Simulation_144	1.204	0.026	0.094	0.092	1.113	0.277	144	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_145	2.21	0.071	0.219	0.019	2.368	0.729	145	12000	1000	1	500	111	0	4634	1	2425	2523	98
Simulation_146	2.713	0.048	0.156	0.128	2.995	0.503	146	12000	1000	1	500	111	0	4314	1	6536	6744	208
Simulation_147	1.707	0.093	0.281	0.055	1.74	0.956	147	12000	1000	1	500	111	0	3965	1	1274	1276	2
Simulation_148	1.959	0.037	0.125	0.11	2.681	0.843	148	12000	1000	1	500	111	0	4691	1	4337	4453	116
Simulation_149	2.965	0.082	0.25	0.037	1.426	0.39	149	12000	1000	1	500	111	0	4570	1	4274	4426	152
Simulation_150	2.462	0.014	0.061	0.146	0.799	0.616	150	12000	1000	1	500	111	0	4340	1	4748	5401	653
