Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_188	1.55	0.214	0.172	0.094	2.956	0.348	188	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5489.29423465978
Simulation_189	2.556	0.511	0.298	0.021	1.701	0.8	189	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5610.46434397701
Simulation_190	2.053	0.066	0.235	0.13	1.074	0.121	190	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.686114352392065	1176	2	1552.92738212813
Simulation_191	1.047	0.362	0.109	0.058	2.328	0.574	191	0.05	12000	1000	1	500	111	0	158	1	3355	3355	0	0	-1	-1	-1	9137.21873101511
Simulation_192	1.031	0.126	0.233	0.041	1.132	0.737	192	0.05	12000	1000	1	500	111	1	0	1	7	17	10	0	-1	-1	-1	7926.04820555126
Simulation_193	2.037	0.423	0.107	0.113	2.387	0.284	193	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	8018.24553121342
Simulation_194	2.54	0.274	0.17	0.077	1.76	0.963	194	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5488.39403049539
Simulation_195	1.534	0.571	0.296	0.15	0.505	0.51	195	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6620.03441066183
Simulation_196	1.786	0.2	0.076	0.022	2.074	0.397	196	0.05	12000	1000	1	500	111	1	0	1	1471	1471	0	1	0.945740956826138	1621	331	5256.01708378415
Simulation_197	2.792	0.497	0.201	0.095	0.819	0.85	197	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7359.33795557714
Simulation_198	2.289	0.052	0.264	0.059	1.446	0.171	198	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4252.61006046464
Simulation_199	1.283	0.348	0.139	0.132	2.701	0.623	199	0.05	12000	1000	1	500	111	0	87	1	3855	3860	5	0	-1	-1	-1	6975.30101207575
Simulation_200	1.409	0.237	0.28	0.086	2.544	0.567	200	0.05	12000	1000	1	500	111	0	37	1	3243	3263	20	0	-1	-1	-1	9183.55936576675
Simulation_201	2.415	0.534	0.154	0.013	1.289	0.114	201	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.900233372228705	1543	1	4594.70812480062
Simulation_202	2.917	0.089	0.092	0.122	0.662	0.793	202	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7302.23876850186
