Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_92	1.605	0.026	0.138	0.035	0.632	0.401	92	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5834.12104970201
Simulation_93	2.611	0.071	0.263	0.108	1.887	0.853	93	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6401.00933053323
Simulation_94	2.108	0.049	0.2	0.072	2.515	0.174	94	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	8073.94502159484
Simulation_95	1.102	0.094	0.075	0.145	1.26	0.627	95	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5721.89460475793
Simulation_96	1.071	0.022	0.283	0.056	1.77	0.528	96	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	8096.34979781439
Simulation_97	2.077	0.067	0.157	0.129	0.515	0.981	97	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.100415923945336	169	1	7423.55276182177
Simulation_98	2.58	0.044	0.095	0.02	1.142	0.302	98	0.05	12000	1000	1	500	111	1	0	1	133	154	21	0	-1	-1	-1	8987.26222240701
Simulation_99	1.574	0.09	0.22	0.092	2.397	0.754	99	0.05	12000	1000	1	500	111	1	0	1	1785	2080	295	1	0.734402852049911	1236	16	3461.21487003094
Simulation_100	1.825	0.033	0.126	0.074	1.456	0.641	100	0.05	12000	1000	1	500	111	1	0	1	60	72	12	0	-1	-1	-1	7646.26532388596
Simulation_101	2.831	0.078	0.251	0.147	2.711	0.188	101	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	4007.14551722525
Simulation_102	2.328	0.01	0.189	0.038	2.083	0.867	102	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7454.32680745724
Simulation_103	1.322	0.056	0.063	0.11	0.828	0.415	103	0.05	12000	1000	1	500	111	1	0	1	2042	2393	351	1	0.708853238265003	1193	18	9176.0895488959
Simulation_104	1.448	0.05	0.236	0.138	0.672	0.358	104	0.05	12000	1000	1	500	111	1	0	1	376	461	85	1	0.857991681521093	1444	49	3908.6940609898
Simulation_105	2.454	0.095	0.11	0.065	1.926	0.811	105	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5844.84806495777
Simulation_106	2.957	0.027	0.173	0.101	2.554	0.132	106	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5567.42593554069
