Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_22	2.438	0.041	0.136	0.009	1.515	0.972	22	0.05	12000	1000	1	500	111
Simulation_23	1.436	0.086	0.261	0.082	2.768	0.522	23	0.05	12000	1000	1	500	111
Simulation_24	1.311	0.024	0.089	0.127	2.611	0.465	24	0.05	12000	1000	1	500	111
Simulation_25	2.312	0.069	0.214	0.055	1.359	0.916	25	0.05	12000	1000	1	500	111
Simulation_26	2.813	0.047	0.153	0.091	0.732	0.24	26	0.05	12000	1000	1	500	111
Simulation_27	1.812	0.092	0.278	0.018	1.985	0.691	27	0.05	12000	1000	1	500	111
Simulation_28	1.561	0.035	0.119	0.146	1.045	0.578	28	0.05	12000	1000	1	500	111
Simulation_29	2.563	0.08	0.244	0.073	2.298	0.127	29	0.05	12000	1000	1	500	111
Simulation_30	2.062	0.013	0.058	0.109	2.924	0.803	30	0.05	12000	1000	1	500	111
Simulation_31	1.061	0.058	0.183	0.037	1.672	0.353	31	0.05	12000	1000	1	500	111
Simulation_32	1.092	0.034	0.117	0.089	2.259	0.677	32	0.05	12000	1000	1	500	111
Simulation_33	2.093	0.079	0.242	0.016	1.006	0.226	33	0.05	12000	1000	1	500	111
Simulation_34	2.594	0.011	0.053	0.125	1.633	0.902	34	0.05	12000	1000	1	500	111
Simulation_35	1.593	0.056	0.178	0.053	2.885	0.451	35	0.05	12000	1000	1	500	111
Simulation_36	1.843	0.023	0.086	0.107	1.319	0.339	36	0.05	12000	1000	1	500	111
Simulation_37	2.844	0.068	0.211	0.034	2.572	0.789	37	0.05	12000	1000	1	500	111
Simulation_38	2.344	0.045	0.147	0.143	1.946	0.113	38	0.05	12000	1000	1	500	111
Simulation_39	1.342	0.09	0.272	0.071	0.693	0.564	39	0.05	12000	1000	1	500	111
Simulation_40	1.467	0.017	0.069	0.025	0.85	0.62	40	0.05	12000	1000	1	500	111
Simulation_41	2.469	0.062	0.194	0.098	2.102	0.17	41	0.05	12000	1000	1	500	111
Simulation_42	2.97	0.039	0.131	0.062	2.728	0.846	42	0.05	12000	1000	1	500	111
Simulation_43	1.968	0.085	0.258	0.134	1.476	0.395	43	0.05	12000	1000	1	500	111
Simulation_44	1.718	0.051	0.164	0.007	2.415	0.508	44	0.05	12000	1000	1	500	111
