Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_487	1.315	0.069	0.214	0.007	1.755	0.805	487	0.05	12000	1000	1	500	111
Simulation_488	1.44	0.041	0.136	0.052	2.225	0.861	488	0.05	12000	1000	1	500	111
Simulation_489	2.442	0.086	0.261	0.125	0.972	0.411	489	0.05	12000	1000	1	500	111
Simulation_490	2.942	0.019	0.075	0.016	1.598	0.636	490	0.05	12000	1000	1	500	111
Simulation_491	1.941	0.064	0.2	0.089	2.851	0.185	491	0.05	12000	1000	1	500	111
Simulation_492	1.69	0.03	0.106	0.07	1.285	0.298	492	0.05	12000	1000	1	500	111
Simulation_493	2.692	0.075	0.231	0.143	2.538	0.749	493	0.05	12000	1000	1	500	111
Simulation_494	2.191	0.052	0.167	0.034	1.911	0.523	494	0.05	12000	1000	1	500	111
Simulation_495	1.19	0.097	0.292	0.107	0.659	0.974	495	0.05	12000	1000	1	500	111
Simulation_496	1.127	0.05	0.161	0.084	1.52	0.721	496	0.05	12000	1000	1	500	111
Simulation_497	2.129	0.095	0.286	0.011	2.773	0.27	497	0.05	12000	1000	1	500	111
Simulation_498	2.629	0.027	0.097	0.12	2.146	0.946	498	0.05	12000	1000	1	500	111
Simulation_499	1.628	0.072	0.222	0.048	0.894	0.495	499	0.05	12000	1000	1	500	111
Simulation_500	1.878	0.016	0.067	0.102	1.833	0.383	500	0.05	12000	1000	1	500	111
Simulation_501	2.88	0.061	0.192	0.03	0.581	0.833	501	0.05	12000	1000	1	500	111
Simulation_502	2.379	0.038	0.128	0.139	1.207	0.157	502	0.05	12000	1000	1	500	111
Simulation_503	1.378	0.083	0.253	0.066	2.459	0.608	503	0.05	12000	1000	1	500	111
Simulation_504	1.252	0.021	0.081	0.039	2.929	0.552	504	0.05	12000	1000	1	500	111
Simulation_505	2.254	0.066	0.206	0.111	1.677	0.101	505	0.05	12000	1000	1	500	111
Simulation_506	2.755	0.044	0.144	0.075	1.05	0.777	506	0.05	12000	1000	1	500	111
Simulation_507	1.753	0.089	0.269	0.148	2.303	0.326	507	0.05	12000	1000	1	500	111
Simulation_508	1.503	0.033	0.114	0.02	0.737	0.439	508	0.05	12000	1000	1	500	111
Simulation_509	2.504	0.078	0.239	0.093	1.99	0.89	509	0.05	12000	1000	1	500	111
Simulation_510	2.003	0.01	0.05	0.057	2.616	0.214	510	0.05	12000	1000	1	500	111
Simulation_511	1.002	0.055	0.175	0.129	1.364	0.664	511	0.05	12000	1000	1	500	111
Simulation_512	1.004	0.033	0.114	0.027	2.741	0.494	512	0.05	12000	1000	1	500	111
Simulation_513	2.005	0.078	0.239	0.099	1.488	0.945	513	0.05	12000	1000	1	500	111
Simulation_514	2.506	0.01	0.05	0.063	0.862	0.269	514	0.05	12000	1000	1	500	111
Simulation_515	1.505	0.055	0.175	0.136	2.114	0.72	515	0.05	12000	1000	1	500	111
Simulation_516	1.755	0.021	0.081	0.009	0.549	0.607	516	0.05	12000	1000	1	500	111
Simulation_517	2.756	0.066	0.206	0.081	1.801	0.156	517	0.05	12000	1000	1	500	111
Simulation_518	2.256	0.044	0.144	0.045	2.428	0.832	518	0.05	12000	1000	1	500	111
Simulation_519	1.254	0.089	0.269	0.118	1.175	0.382	519	0.05	12000	1000	1	500	111
Simulation_520	1.379	0.016	0.067	0.09	1.645	0.325	520	0.05	12000	1000	1	500	111
Simulation_521	2.381	0.061	0.192	0.018	2.897	0.776	521	0.05	12000	1000	1	500	111
Simulation_522	2.882	0.038	0.128	0.127	2.271	0.1	522	0.05	12000	1000	1	500	111
Simulation_523	1.88	0.083	0.253	0.054	1.019	0.551	523	0.05	12000	1000	1	500	111
Simulation_524	1.63	0.049	0.158	0.109	1.958	0.663	524	0.05	12000	1000	1	500	111
Simulation_525	2.631	0.094	0.283	0.036	0.705	0.213	525	0.05	12000	1000	1	500	111
Simulation_526	2.131	0.027	0.097	0.145	1.332	0.889	526	0.05	12000	1000	1	500	111
Simulation_527	1.129	0.072	0.222	0.072	2.584	0.438	527	0.05	12000	1000	1	500	111
Simulation_528	1.192	0.03	0.106	0.05	2.193	0.241	528	0.05	12000	1000	1	500	111
Simulation_529	2.193	0.075	0.231	0.122	0.94	0.691	529	0.05	12000	1000	1	500	111
Simulation_530	2.694	0.052	0.167	0.013	1.567	0.466	530	0.05	12000	1000	1	500	111
Simulation_531	1.692	0.097	0.292	0.086	2.819	0.917	531	0.05	12000	1000	1	500	111
Simulation_532	1.943	0.041	0.136	0.068	1.253	0.804	532	0.05	12000	1000	1	500	111
Simulation_533	2.944	0.086	0.261	0.14	2.506	0.353	533	0.05	12000	1000	1	500	111
Simulation_534	2.444	0.018	0.072	0.031	1.88	0.579	534	0.05	12000	1000	1	500	111
Simulation_535	1.442	0.064	0.2	0.104	0.627	0.128	535	0.05	12000	1000	1	500	111
Simulation_536	1.317	0.047	0.153	0.149	1.097	0.184	536	0.05	12000	1000	1	500	111
Simulation_537	2.318	0.092	0.278	0.077	2.349	0.635	537	0.05	12000	1000	1	500	111
Simulation_538	2.819	0.024	0.089	0.113	2.976	0.41	538	0.05	12000	1000	1	500	111
Simulation_539	1.818	0.069	0.214	0.04	1.723	0.86	539	0.05	12000	1000	1	500	111
Simulation_540	1.567	0.013	0.058	0.131	2.662	0.973	540	0.05	12000	1000	1	500	111
Simulation_541	2.569	0.058	0.183	0.059	1.41	0.522	541	0.05	12000	1000	1	500	111
Simulation_542	2.068	0.035	0.119	0.095	0.784	0.748	542	0.05	12000	1000	1	500	111
Simulation_543	1.067	0.08	0.244	0.022	2.036	0.297	543	0.05	12000	1000	1	500	111
Simulation_544	1.098	0.011	0.053	0.106	1.293	0.846	544	0.05	12000	1000	1	500	111
Simulation_545	2.099	0.056	0.178	0.034	2.545	0.396	545	0.05	12000	1000	1	500	111
Simulation_546	2.6	0.034	0.117	0.143	1.919	0.621	546	0.05	12000	1000	1	500	111
Simulation_547	1.599	0.079	0.242	0.07	0.666	0.17	547	0.05	12000	1000	1	500	111
Simulation_548	1.849	0.045	0.147	0.088	2.232	0.283	548	0.05	12000	1000	1	500	111
Simulation_549	2.85	0.09	0.272	0.015	0.979	0.734	549	0.05	12000	1000	1	500	111
Simulation_550	2.35	0.023	0.086	0.124	1.606	0.508	550	0.05	12000	1000	1	500	111
Simulation_551	1.348	0.068	0.211	0.052	2.858	0.959	551	0.05	12000	1000	1	500	111
Simulation_552	1.473	0.04	0.133	0.006	2.388	0.903	552	0.05	12000	1000	1	500	111
Simulation_553	2.475	0.085	0.258	0.079	1.136	0.452	553	0.05	12000	1000	1	500	111
Simulation_554	2.976	0.017	0.069	0.043	0.51	0.677	554	0.05	12000	1000	1	500	111
Simulation_555	1.974	0.062	0.194	0.115	1.762	0.227	555	0.05	12000	1000	1	500	111
Simulation_556	1.724	0.028	0.1	0.025	0.823	0.114	556	0.05	12000	1000	1	500	111
Simulation_557	2.725	0.073	0.225	0.097	2.075	0.565	557	0.05	12000	1000	1	500	111
Simulation_558	2.224	0.051	0.164	0.061	2.702	0.339	558	0.05	12000	1000	1	500	111
Simulation_559	1.223	0.096	0.289	0.134	1.449	0.79	559	0.05	12000	1000	1	500	111
Simulation_560	1.16	0.054	0.172	0.129	0.745	0.593	560	0.05	12000	1000	1	500	111
Simulation_561	2.162	0.099	0.297	0.056	1.997	0.142	561	0.05	12000	1000	1	500	111
Simulation_562	2.663	0.031	0.108	0.093	2.623	0.818	562	0.05	12000	1000	1	500	111
Simulation_563	1.661	0.076	0.233	0.02	1.371	0.368	563	0.05	12000	1000	1	500	111
Simulation_564	1.911	0.02	0.078	0.147	2.936	0.48	564	0.05	12000	1000	1	500	111
Simulation_565	2.913	0.065	0.203	0.075	1.684	0.931	565	0.05	12000	1000	1	500	111
Simulation_566	2.412	0.042	0.139	0.111	1.058	0.255	566	0.05	12000	1000	1	500	111
Simulation_567	1.411	0.087	0.264	0.038	2.31	0.706	567	0.05	12000	1000	1	500	111
Simulation_568	1.286	0.025	0.092	0.065	1.841	0.762	568	0.05	12000	1000	1	500	111
Simulation_569	2.287	0.071	0.219	0.138	0.588	0.311	569	0.05	12000	1000	1	500	111
Simulation_570	2.788	0.048	0.156	0.029	1.214	0.987	570	0.05	12000	1000	1	500	111
Simulation_571	1.786	0.093	0.281	0.102	2.467	0.537	571	0.05	12000	1000	1	500	111
Simulation_572	1.536	0.037	0.125	0.047	1.527	0.424	572	0.05	12000	1000	1	500	111
Simulation_573	2.537	0.082	0.25	0.12	2.78	0.875	573	0.05	12000	1000	1	500	111
Simulation_574	2.037	0.014	0.061	0.011	2.154	0.199	574	0.05	12000	1000	1	500	111
Simulation_575	1.035	0.059	0.186	0.084	0.901	0.649	575	0.05	12000	1000	1	500	111
Simulation_576	1.051	0.023	0.086	0.137	2.565	0.713	576	0.05	12000	1000	1	500	111
Simulation_577	2.052	0.068	0.211	0.064	1.312	0.262	577	0.05	12000	1000	1	500	111
Simulation_578	2.553	0.046	0.15	0.101	0.686	0.938	578	0.05	12000	1000	1	500	111
Simulation_579	1.552	0.091	0.275	0.028	1.938	0.487	579	0.05	12000	1000	1	500	111
Simulation_580	1.802	0.035	0.119	0.119	0.999	0.375	580	0.05	12000	1000	1	500	111
Simulation_581	2.803	0.08	0.244	0.046	2.251	0.825	581	0.05	12000	1000	1	500	111
Simulation_582	2.303	0.012	0.056	0.082	2.878	0.149	582	0.05	12000	1000	1	500	111
Simulation_583	1.301	0.057	0.181	0.01	1.625	0.6	583	0.05	12000	1000	1	500	111
Simulation_584	1.426	0.052	0.167	0.055	1.156	0.656	584	0.05	12000	1000	1	500	111
Simulation_585	2.428	0.097	0.292	0.128	2.408	0.206	585	0.05	12000	1000	1	500	111
Simulation_586	2.929	0.029	0.103	0.019	1.782	0.882	586	0.05	12000	1000	1	500	111
Simulation_587	1.927	0.074	0.228	0.092	0.529	0.431	587	0.05	12000	1000	1	500	111
Simulation_588	1.677	0.018	0.072	0.073	2.095	0.544	588	0.05	12000	1000	1	500	111
Simulation_589	2.678	0.063	0.197	0.146	0.842	0.994	589	0.05	12000	1000	1	500	111
Simulation_590	2.178	0.04	0.133	0.037	1.469	0.318	590	0.05	12000	1000	1	500	111
Simulation_591	1.176	0.085	0.258	0.11	2.721	0.769	591	0.05	12000	1000	1	500	111
Simulation_592	1.239	0.043	0.142	0.078	2.017	0.966	592	0.05	12000	1000	1	500	111
Simulation_593	2.24	0.088	0.267	0.005	0.764	0.515	593	0.05	12000	1000	1	500	111
Simulation_594	2.741	0.021	0.081	0.114	1.39	0.741	594	0.05	12000	1000	1	500	111
Simulation_595	1.739	0.066	0.206	0.042	2.643	0.29	595	0.05	12000	1000	1	500	111
Simulation_596	1.99	0.032	0.111	0.096	1.704	0.177	596	0.05	12000	1000	1	500	111
Simulation_597	2.991	0.077	0.236	0.023	2.956	0.628	597	0.05	12000	1000	1	500	111
Simulation_598	2.49	0.054	0.172	0.132	2.33	0.403	598	0.05	12000	1000	1	500	111
Simulation_599	1.489	0.099	0.297	0.06	1.077	0.853	599	0.05	12000	1000	1	500	111
Simulation_600	1.364	0.015	0.064	0.033	0.608	0.797	600	0.05	12000	1000	1	500	111
Simulation_601	2.365	0.06	0.189	0.105	1.86	0.346	601	0.05	12000	1000	1	500	111
Simulation_602	2.866	0.037	0.125	0.069	2.486	0.572	602	0.05	12000	1000	1	500	111
Simulation_603	1.865	0.083	0.253	0.141	1.234	0.121	603	0.05	12000	1000	1	500	111
Simulation_604	1.614	0.049	0.158	0.014	2.799	0.234	604	0.05	12000	1000	1	500	111
Simulation_605	2.616	0.094	0.283	0.087	1.547	0.684	605	0.05	12000	1000	1	500	111
Simulation_606	2.115	0.026	0.094	0.051	0.921	0.459	606	0.05	12000	1000	1	500	111
Simulation_607	1.113	0.071	0.219	0.123	2.173	0.91	607	0.05	12000	1000	1	500	111
Simulation_608	1.082	0.045	0.147	0.076	1.508	0.135	608	0.05	12000	1000	1	500	111
Simulation_609	2.084	0.09	0.272	0.148	2.76	0.586	609	0.05	12000	1000	1	500	111
Simulation_610	2.584	0.022	0.083	0.039	2.134	0.361	610	0.05	12000	1000	1	500	111
Simulation_611	1.583	0.067	0.208	0.112	0.882	0.811	611	0.05	12000	1000	1	500	111
Simulation_612	1.833	0.011	0.053	0.057	1.821	0.924	612	0.05	12000	1000	1	500	111
Simulation_613	2.835	0.056	0.178	0.13	0.568	0.473	613	0.05	12000	1000	1	500	111
Simulation_614	2.334	0.033	0.114	0.021	1.195	0.699	614	0.05	12000	1000	1	500	111
Simulation_615	1.333	0.078	0.239	0.094	2.447	0.248	615	0.05	12000	1000	1	500	111
Simulation_616	1.458	0.028	0.1	0.121	2.917	0.304	616	0.05	12000	1000	1	500	111
Simulation_617	2.459	0.073	0.225	0.048	1.664	0.755	617	0.05	12000	1000	1	500	111
Simulation_618	2.96	0.05	0.161	0.085	1.038	0.53	618	0.05	12000	1000	1	500	111
Simulation_619	1.958	0.095	0.286	0.012	2.291	0.98	619	0.05	12000	1000	1	500	111
Simulation_620	1.708	0.039	0.131	0.139	0.725	0.868	620	0.05	12000	1000	1	500	111
Simulation_621	2.71	0.084	0.256	0.067	1.977	0.417	621	0.05	12000	1000	1	500	111
Simulation_622	2.209	0.016	0.067	0.103	2.604	0.642	622	0.05	12000	1000	1	500	111
Simulation_623	1.207	0.061	0.192	0.03	1.351	0.192	623	0.05	12000	1000	1	500	111
Simulation_624	1.145	0.019	0.075	0.017	0.96	0.389	624	0.05	12000	1000	1	500	111
Simulation_625	2.146	0.064	0.2	0.089	2.212	0.839	625	0.05	12000	1000	1	500	111
Simulation_626	2.647	0.042	0.139	0.053	2.839	0.163	626	0.05	12000	1000	1	500	111
Simulation_627	1.645	0.087	0.264	0.126	1.586	0.614	627	0.05	12000	1000	1	500	111
Simulation_628	1.896	0.053	0.169	0.035	2.525	0.727	628	0.05	12000	1000	1	500	111
Simulation_629	2.897	0.098	0.294	0.107	1.273	0.276	629	0.05	12000	1000	1	500	111
Simulation_630	2.397	0.03	0.106	0.071	0.647	0.952	630	0.05	12000	1000	1	500	111
Simulation_631	1.395	0.075	0.231	0.144	1.899	0.501	631	0.05	12000	1000	1	500	111
Simulation_632	1.27	0.036	0.122	0.098	2.369	0.445	632	0.05	12000	1000	1	500	111
Simulation_633	2.271	0.081	0.247	0.026	1.116	0.896	633	0.05	12000	1000	1	500	111
Simulation_634	2.772	0.014	0.061	0.135	1.743	0.22	634	0.05	12000	1000	1	500	111
Simulation_635	1.771	0.059	0.186	0.062	2.995	0.67	635	0.05	12000	1000	1	500	111
Simulation_636	1.52	0.025	0.092	0.08	1.43	0.558	636	0.05	12000	1000	1	500	111
Simulation_637	2.522	0.07	0.217	0.008	2.682	0.107	637	0.05	12000	1000	1	500	111
Simulation_638	2.021	0.047	0.153	0.117	2.056	0.783	638	0.05	12000	1000	1	500	111
Simulation_639	1.02	0.092	0.278	0.044	0.803	0.332	639	0.05	12000	1000	1	500	111
Simulation_640	1.027	0.017	0.069	0.127	1.929	0.195	640	0.05	12000	1000	1	500	111
Simulation_641	2.029	0.062	0.194	0.055	0.676	0.646	641	0.05	12000	1000	1	500	111
Simulation_642	2.53	0.04	0.133	0.091	1.302	0.42	642	0.05	12000	1000	1	500	111
Simulation_643	1.528	0.085	0.258	0.018	2.555	0.871	643	0.05	12000	1000	1	500	111
Simulation_644	1.778	0.051	0.164	0.145	1.615	0.984	644	0.05	12000	1000	1	500	111
Simulation_645	2.78	0.096	0.289	0.073	2.868	0.533	645	0.05	12000	1000	1	500	111
Simulation_646	2.279	0.029	0.103	0.109	2.242	0.758	646	0.05	12000	1000	1	500	111
Simulation_647	1.278	0.074	0.228	0.036	0.989	0.308	647	0.05	12000	1000	1	500	111
Simulation_648	1.403	0.034	0.117	0.064	0.52	0.251	648	0.05	12000	1000	1	500	111
Simulation_649	2.404	0.079	0.242	0.136	1.772	0.702	649	0.05	12000	1000	1	500	111
Simulation_650	2.905	0.012	0.056	0.027	2.398	0.477	650	0.05	12000	1000	1	500	111
Simulation_651	1.904	0.057	0.181	0.1	1.146	0.927	651	0.05	12000	1000	1	500	111
Simulation_652	1.653	0.023	0.086	0.046	2.711	0.815	652	0.05	12000	1000	1	500	111
Simulation_653	2.655	0.068	0.211	0.118	1.459	0.364	653	0.05	12000	1000	1	500	111
Simulation_654	2.154	0.046	0.15	0.009	0.833	0.589	654	0.05	12000	1000	1	500	111
Simulation_655	1.153	0.091	0.275	0.082	2.085	0.139	655	0.05	12000	1000	1	500	111
Simulation_656	1.215	0.048	0.156	0.114	2.633	0.336	656	0.05	12000	1000	1	500	111
Simulation_657	2.217	0.093	0.281	0.041	1.381	0.787	657	0.05	12000	1000	1	500	111
Simulation_658	2.717	0.026	0.094	0.15	0.754	0.111	658	0.05	12000	1000	1	500	111
Simulation_659	1.716	0.071	0.219	0.077	2.007	0.561	659	0.05	12000	1000	1	500	111
Simulation_660	1.966	0.015	0.064	0.096	1.068	0.674	660	0.05	12000	1000	1	500	111
Simulation_661	2.968	0.06	0.189	0.023	2.32	0.223	661	0.05	12000	1000	1	500	111
Simulation_662	2.467	0.037	0.125	0.132	2.946	0.899	662	0.05	12000	1000	1	500	111
Simulation_663	1.466	0.082	0.25	0.059	1.694	0.449	663	0.05	12000	1000	1	500	111
Simulation_664	1.34	0.031	0.108	0.014	1.224	0.505	664	0.05	12000	1000	1	500	111
Simulation_665	2.342	0.077	0.236	0.086	2.477	0.956	665	0.05	12000	1000	1	500	111
Simulation_666	2.843	0.054	0.172	0.05	1.85	0.28	666	0.05	12000	1000	1	500	111
Simulation_667	1.841	0.099	0.297	0.123	0.598	0.73	667	0.05	12000	1000	1	500	111
Simulation_668	1.591	0.043	0.142	0.032	2.163	0.618	668	0.05	12000	1000	1	500	111
Simulation_669	2.592	0.088	0.267	0.105	0.911	0.167	669	0.05	12000	1000	1	500	111
Simulation_670	2.091	0.02	0.078	0.068	1.537	0.843	670	0.05	12000	1000	1	500	111
Simulation_671	1.09	0.065	0.203	0.141	2.79	0.392	671	0.05	12000	1000	1	500	111
Simulation_672	1.121	0.039	0.131	0.043	0.872	0.772	672	0.05	12000	1000	1	500	111
Simulation_673	2.123	0.084	0.256	0.116	2.124	0.322	673	0.05	12000	1000	1	500	111
Simulation_674	2.623	0.016	0.067	0.007	2.75	0.998	674	0.05	12000	1000	1	500	111
Simulation_675	1.622	0.061	0.192	0.08	1.498	0.547	675	0.05	12000	1000	1	500	111
Simulation_676	1.872	0.027	0.097	0.061	2.437	0.434	676	0.05	12000	1000	1	500	111
Simulation_677	2.874	0.072	0.222	0.134	1.185	0.885	677	0.05	12000	1000	1	500	111
Simulation_678	2.373	0.05	0.161	0.025	0.559	0.209	678	0.05	12000	1000	1	500	111
Simulation_679	1.372	0.095	0.286	0.098	1.811	0.66	679	0.05	12000	1000	1	500	111
Simulation_680	1.497	0.01	0.05	0.143	2.281	0.603	680	0.05	12000	1000	1	500	111
Simulation_681	2.498	0.055	0.175	0.071	1.028	0.153	681	0.05	12000	1000	1	500	111
Simulation_682	2.999	0.033	0.114	0.107	1.655	0.829	682	0.05	12000	1000	1	500	111
Simulation_683	1.998	0.078	0.239	0.034	2.907	0.378	683	0.05	12000	1000	1	500	111
Simulation_684	1.747	0.044	0.144	0.125	1.341	0.491	684	0.05	12000	1000	1	500	111
Simulation_685	2.749	0.089	0.269	0.052	2.594	0.941	685	0.05	12000	1000	1	500	111
Simulation_686	2.248	0.022	0.083	0.089	1.968	0.265	686	0.05	12000	1000	1	500	111
Simulation_687	1.246	0.067	0.208	0.016	0.715	0.716	687	0.05	12000	1000	1	500	111
Simulation_688	1.184	0.024	0.089	0.03	1.576	0.913	688	0.05	12000	1000	1	500	111
Simulation_689	2.185	0.07	0.217	0.102	2.829	0.463	689	0.05	12000	1000	1	500	111
Simulation_690	2.686	0.047	0.153	0.066	2.203	0.688	690	0.05	12000	1000	1	500	111
Simulation_691	1.685	0.092	0.278	0.139	0.95	0.237	691	0.05	12000	1000	1	500	111
Simulation_692	1.935	0.036	0.122	0.012	1.889	0.125	692	0.05	12000	1000	1	500	111
Simulation_693	2.936	0.081	0.247	0.084	0.637	0.575	693	0.05	12000	1000	1	500	111
Simulation_694	2.436	0.013	0.058	0.048	1.263	0.35	694	0.05	12000	1000	1	500	111
Simulation_695	1.434	0.058	0.183	0.12	2.516	0.801	695	0.05	12000	1000	1	500	111
Simulation_696	1.309	0.053	0.169	0.093	2.985	0.857	696	0.05	12000	1000	1	500	111
Simulation_697	2.311	0.098	0.294	0.021	1.733	0.406	697	0.05	12000	1000	1	500	111
Simulation_698	2.811	0.03	0.106	0.13	1.107	0.632	698	0.05	12000	1000	1	500	111
Simulation_699	1.81	0.075	0.231	0.057	2.359	0.181	699	0.05	12000	1000	1	500	111
Simulation_700	1.559	0.019	0.075	0.111	0.794	0.294	700	0.05	12000	1000	1	500	111
Simulation_701	2.561	0.064	0.2	0.039	2.046	0.744	701	0.05	12000	1000	1	500	111
Simulation_702	2.06	0.041	0.136	0.148	2.672	0.519	702	0.05	12000	1000	1	500	111
Simulation_703	1.059	0.086	0.261	0.075	1.42	0.97	703	0.05	12000	1000	1	500	111
Simulation_704	1.043	0.05	0.161	0.019	2.105	0.794	704	0.05	12000	1000	1	500	111
Simulation_705	2.044	0.096	0.289	0.092	0.852	0.343	705	0.05	12000	1000	1	500	111
Simulation_706	2.545	0.028	0.1	0.056	1.478	0.568	706	0.05	12000	1000	1	500	111
Simulation_707	1.544	0.073	0.225	0.128	2.731	0.118	707	0.05	12000	1000	1	500	111
Simulation_708	1.794	0.017	0.069	0.038	1.165	0.23	708	0.05	12000	1000	1	500	111
Simulation_709	2.796	0.062	0.194	0.11	2.418	0.681	709	0.05	12000	1000	1	500	111
Simulation_710	2.295	0.039	0.131	0.074	1.792	0.456	710	0.05	12000	1000	1	500	111
Simulation_711	1.293	0.084	0.256	0.147	0.539	0.906	711	0.05	12000	1000	1	500	111
Simulation_712	1.419	0.022	0.083	0.101	1.009	0.963	712	0.05	12000	1000	1	500	111
Simulation_713	2.42	0.067	0.208	0.029	2.261	0.512	713	0.05	12000	1000	1	500	111
Simulation_714	2.921	0.045	0.147	0.138	2.887	0.737	714	0.05	12000	1000	1	500	111
Simulation_715	1.919	0.09	0.272	0.065	1.635	0.287	715	0.05	12000	1000	1	500	111
Simulation_716	1.669	0.034	0.117	0.083	2.574	0.174	716	0.05	12000	1000	1	500	111
Simulation_717	2.67	0.079	0.242	0.01	1.322	0.625	717	0.05	12000	1000	1	500	111
Simulation_718	2.17	0.011	0.053	0.119	0.696	0.399	718	0.05	12000	1000	1	500	111
Simulation_719	1.168	0.056	0.178	0.047	1.948	0.85	719	0.05	12000	1000	1	500	111
Simulation_720	1.231	0.014	0.061	0.069	2.809	0.653	720	0.05	12000	1000	1	500	111
Simulation_721	2.232	0.059	0.186	0.142	1.557	0.202	721	0.05	12000	1000	1	500	111
Simulation_722	2.733	0.036	0.122	0.033	0.931	0.878	722	0.05	12000	1000	1	500	111
Simulation_723	1.732	0.081	0.247	0.106	2.183	0.427	723	0.05	12000	1000	1	500	111
Simulation_724	1.982	0.048	0.156	0.051	0.617	0.54	724	0.05	12000	1000	1	500	111
Simulation_725	2.983	0.093	0.281	0.124	1.87	0.991	725	0.05	12000	1000	1	500	111
Simulation_726	2.483	0.025	0.092	0.015	2.496	0.315	726	0.05	12000	1000	1	500	111
Simulation_727	1.481	0.07	0.217	0.088	1.244	0.765	727	0.05	12000	1000	1	500	111
Simulation_728	1.356	0.042	0.139	0.115	1.713	0.709	728	0.05	12000	1000	1	500	111
Simulation_729	2.357	0.087	0.264	0.042	2.966	0.258	729	0.05	12000	1000	1	500	111
Simulation_730	2.858	0.02	0.078	0.078	2.34	0.934	730	0.05	12000	1000	1	500	111
Simulation_731	1.857	0.065	0.203	0.006	1.087	0.484	731	0.05	12000	1000	1	500	111
Simulation_732	1.606	0.031	0.108	0.133	2.026	0.371	732	0.05	12000	1000	1	500	111
Simulation_733	2.608	0.076	0.233	0.06	0.774	0.822	733	0.05	12000	1000	1	500	111
Simulation_734	2.107	0.053	0.169	0.097	1.4	0.146	734	0.05	12000	1000	1	500	111
Simulation_735	1.106	0.098	0.294	0.024	2.653	0.596	735	0.05	12000	1000	1	500	111
Simulation_736	1.074	0.029	0.103	0.085	0.657	0.442	736	0.05	12000	1000	1	500	111
Simulation_737	2.076	0.074	0.228	0.013	1.909	0.892	737	0.05	12000	1000	1	500	111
Simulation_738	2.577	0.052	0.167	0.122	2.535	0.216	738	0.05	12000	1000	1	500	111
Simulation_739	1.575	0.097	0.292	0.049	1.283	0.667	739	0.05	12000	1000	1	500	111
Simulation_740	1.825	0.041	0.136	0.103	2.848	0.554	740	0.05	12000	1000	1	500	111
Simulation_741	2.827	0.086	0.261	0.031	1.596	0.104	741	0.05	12000	1000	1	500	111
Simulation_742	2.326	0.018	0.072	0.14	0.97	0.78	742	0.05	12000	1000	1	500	111
Simulation_743	1.325	0.063	0.197	0.067	2.222	0.329	743	0.05	12000	1000	1	500	111
Simulation_744	1.45	0.046	0.15	0.04	1.752	0.385	744	0.05	12000	1000	1	500	111
Simulation_745	2.451	0.091	0.275	0.113	0.5	0.836	745	0.05	12000	1000	1	500	111
Simulation_746	2.952	0.024	0.089	0.076	1.126	0.16	746	0.05	12000	1000	1	500	111
Simulation_747	1.951	0.069	0.214	0.149	2.379	0.611	747	0.05	12000	1000	1	500	111
Simulation_748	1.7	0.012	0.056	0.022	1.439	0.723	748	0.05	12000	1000	1	500	111
Simulation_749	2.702	0.058	0.183	0.094	2.692	0.273	749	0.05	12000	1000	1	500	111
Simulation_750	2.201	0.035	0.119	0.058	2.066	0.949	750	0.05	12000	1000	1	500	111
Simulation_751	1.2	0.08	0.244	0.131	0.813	0.498	751	0.05	12000	1000	1	500	111
Simulation_752	1.137	0.038	0.128	0.135	1.361	0.301	752	0.05	12000	1000	1	500	111
Simulation_753	2.138	0.083	0.253	0.063	2.614	0.751	753	0.05	12000	1000	1	500	111
Simulation_754	2.639	0.015	0.064	0.099	1.987	0.526	754	0.05	12000	1000	1	500	111
Simulation_755	1.638	0.06	0.189	0.026	0.735	0.977	755	0.05	12000	1000	1	500	111
Simulation_756	1.888	0.027	0.097	0.117	2.3	0.864	756	0.05	12000	1000	1	500	111
Simulation_757	2.889	0.072	0.222	0.044	1.048	0.413	757	0.05	12000	1000	1	500	111
Simulation_758	2.389	0.049	0.158	0.081	1.674	0.639	758	0.05	12000	1000	1	500	111
Simulation_759	1.387	0.094	0.283	0.008	2.927	0.188	759	0.05	12000	1000	1	500	111
Simulation_760	1.262	0.021	0.081	0.054	2.457	0.132	760	0.05	12000	1000	1	500	111
Simulation_761	2.264	0.066	0.206	0.126	1.205	0.582	761	0.05	12000	1000	1	500	111
Simulation_762	2.764	0.043	0.142	0.017	0.578	0.357	762	0.05	12000	1000	1	500	111
Simulation_763	1.763	0.089	0.269	0.09	1.831	0.808	763	0.05	12000	1000	1	500	111
Simulation_764	1.512	0.055	0.175	0.072	0.891	0.92	764	0.05	12000	1000	1	500	111
Simulation_765	2.514	0.1	0.3	0.144	2.144	0.47	765	0.05	12000	1000	1	500	111
Simulation_766	2.013	0.032	0.111	0.035	2.77	0.695	766	0.05	12000	1000	1	500	111
Simulation_767	1.012	0.077	0.236	0.108	1.518	0.244	767	0.05	12000	1000	1	500	111
Simulation_768	1.008	0.032	0.111	0.067	0.975	0.584	768	0.05	12000	1000	1	500	111
Simulation_769	2.009	0.077	0.236	0.14	2.227	0.133	769	0.05	12000	1000	1	500	111
Simulation_770	2.51	0.055	0.175	0.031	2.853	0.809	770	0.05	12000	1000	1	500	111
