Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_70	2.297	0.034	0.015	2.201	0.176	70	0.05	12000	1000	1	500	111	1	0	1	449	449	0	1	0.598599766627771	64	3245.48492047852	3
Simulation_71	1.291	0.08	0.088	0.946	0.628	71	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5059.36370996829	4
Simulation_72	1.417	0.029	0.024	1.73	0.684	72	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6132.83572227566	4
Simulation_73	2.422	0.074	0.097	2.985	0.232	73	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6257.63227088988	4
Simulation_74	2.925	0.051	0.133	1.103	0.458	74	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5372.48142612303	4
Simulation_75	1.919	0.097	0.06	2.358	0.91	75	0.05	12000	1000	1	500	111	1	0	1	9	10	1	0	-1	-1	2718.11603648608	2
Simulation_76	1.668	0.04	0.079	1.417	0.345	76	0.05	12000	1000	1	500	111	0	110	1	2897	2951	54	1	0.453325554259043	48	5578.96514522013	3
Simulation_77	2.674	0.085	0.006	2.672	0.797	77	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7329.70963988962	4
Simulation_78	2.171	0.017	0.042	0.789	0.571	78	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4496.46340634304	4
Simulation_79	1.165	0.063	0.115	2.044	0.119	79	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	3593.66769854493	3
Simulation_80	1.228	0.02	0.101	2.123	0.543	80	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	8874.54741412224	4
Simulation_81	2.234	0.066	0.029	0.868	0.995	81	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	2815.32267737443	2
Simulation_82	2.737	0.043	0.065	2.75	0.769	82	0.05	12000	1000	1	500	111	1	0	1	156	158	2	0	-1	-1	5498.30755373344	4
Simulation_83	1.731	0.088	0.138	1.495	0.317	83	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6467.79155222795	4
Simulation_84	1.982	0.054	0.01	1.809	0.656	84	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4670.52110620269	2
Simulation_85	2.988	0.099	0.083	0.554	0.204	85	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	3553.85677107466	2
Simulation_86	2.485	0.032	0.12	2.436	0.43	86	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7171.3071056882	4
Simulation_87	1.479	0.077	0.047	1.181	0.882	87	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4912.06253787755	4
Simulation_88	1.354	0.037	0.147	0.711	0.938	88	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5926.58387771793	4
Simulation_89	2.36	0.082	0.074	1.966	0.486	89	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7082.89024162556	4
Simulation_90	2.862	0.015	0.038	1.338	0.261	90	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7790.02636074101	5
Simulation_91	1.857	0.06	0.11	2.593	0.712	91	0.05	12000	1000	1	500	111	1	0	1	809	842	33	1	0.683780630105018	11	5158.60282998832	4
Simulation_92	1.605	0.026	0.056	1.025	0.148	92	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6595.18789989823	4
Simulation_93	2.611	0.071	0.129	2.279	0.599	93	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7026.29641695514	4
Simulation_94	2.108	0.049	0.092	1.652	0.825	94	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7897.81802442523	5
Simulation_95	1.102	0.094	0.02	2.907	0.374	95	0.05	12000	1000	1	500	111	0	197	1	1318	1318	0	1	0.900233372228705	1318	2701.02512999587	3
Simulation_96	1.071	0.022	0.14	1.377	0.557	96	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7757.49207434296	5
Simulation_97	2.077	0.067	0.067	2.632	0.105	97	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7552.35896021376	5
Simulation_98	2.58	0.044	0.031	0.75	0.331	98	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7761.98951339721	5
Simulation_99	1.574	0.09	0.104	2.005	0.783	99	0.05	12000	1000	1	500	111	1	0	1	146	150	4	0	-1	-1	3925.74018665293	3
Simulation_100	1.825	0.033	0.049	1.691	0.444	100	0.05	12000	1000	1	500	111	0	55	1	1620	1621	1	1	0.673278879813302	295	1910.25658429938	1
Simulation_101	2.831	0.078	0.122	2.946	0.896	101	0.05	12000	1000	1	500	111	1	0	1	10	10	0	0	-1	-1	4781.82430198646	4
Simulation_102	2.328	0.01	0.085	1.064	0.67	102	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7084.60722398837	4
Simulation_103	1.322	0.056	0.013	2.319	0.218	103	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7902.24037808589	5
Simulation_104	1.448	0.05	0.113	2.789	0.162	104	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6503.96016081309	4
Simulation_105	2.454	0.095	0.04	1.534	0.614	105	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6467.79155222795	4
Simulation_106	2.957	0.027	0.076	2.162	0.839	106	0.05	12000	1000	1	500	111	1	0	1	75	75	0	0	-1	-1	6228.71626454543	4
Simulation_107	1.951	0.073	0.149	0.907	0.388	107	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7572.43332947394	5
Simulation_108	1.699	0.016	0.022	2.475	0.952	108	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5528.48319084843	3
Simulation_109	2.705	0.061	0.095	1.221	0.501	109	0.05	12000	1000	1	500	111	1	0	1	49	49	0	1	0.00116686114352392	1	3174.32711395677	3
Simulation_110	2.202	0.039	0.131	1.848	0.275	110	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6233.31966848033	4
Simulation_111	1.196	0.084	0.058	0.593	0.726	111	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5661.95077143406	4
Simulation_112	1.134	0.041	0.035	0.985	0.811	112	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1	8531.21265970246	4
Simulation_113	2.139	0.087	0.108	2.24	0.359	113	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5624.88703206687	4
Simulation_114	2.642	0.019	0.145	1.613	0.134	114	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7854.25625044967	4
Simulation_115	1.637	0.064	0.072	2.868	0.585	115	0.05	12000	1000	1	500	111	1	0	1	522	524	2	1	0.731621936989498	56	5124.00766474821	3
Simulation_116	1.888	0.03	0.09	0.672	0.246	116	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5831.54040527573	4
Simulation_117	2.894	0.075	0.017	1.926	0.698	117	0.05	12000	1000	1	500	111	1	0	1	86	87	1	0	-1	-1	4604.73791640531	4
Simulation_118	2.391	0.053	0.054	1.299	0.924	118	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5569.97663789681	4
Simulation_119	1.385	0.098	0.126	2.554	0.472	119	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4704.44828943885	4
Simulation_120	1.259	0.013	0.063	1.77	0.416	120	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5419.41937386277	2
Simulation_121	2.265	0.058	0.136	0.515	0.868	121	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.0600933488914819	1	3113.8588736223	2
Simulation_122	2.768	0.036	0.099	2.397	0.642	122	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7542.95773398771	5
