Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_344	1.365	0.027	0.058	1.422	0.308	344	0.05	12000	1000	1	500	111	1	0	1	73	73	0	1	0.00577108047451106	-1
Simulation_345	2.371	0.072	0.131	2.676	0.76	345	0.05	12000	1000	1	500	111	1	0	1	38	38	0	1	0.901571016351395	28
Simulation_346	2.874	0.05	0.094	0.794	0.986	346	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_347	1.868	0.095	0.021	2.049	0.534	347	0.05	12000	1000	1	500	111	0	159	1	1264	1265	1	1	0.166720102596986	513
Simulation_348	1.617	0.038	0.149	1.735	0.873	348	0.05	12000	1000	1	500	111	1	0	1	1839	1852	13	1	0.383776851554986	311
Simulation_349	2.623	0.084	0.076	2.99	0.421	349	0.05	12000	1000	1	500	111	1	0	1	174	174	0	1	0.121192689964732	113
Simulation_350	2.12	0.016	0.04	1.108	0.195	350	0.05	12000	1000	1	500	111	1	0	1	55	57	2	0	-1	-1
Simulation_351	1.114	0.061	0.112	2.363	0.647	351	0.05	12000	1000	1	500	111	1	0	1	998	999	1	1	0.875601154216095	543
Simulation_352	1.083	0.043	0.047	0.676	0.407	352	0.05	12000	1000	1	500	111	1	0	1	150	150	0	1	0.966014748316768	86
Simulation_353	2.088	0.088	0.119	1.931	0.859	353	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.121192689964732	9
Simulation_354	2.591	0.02	0.083	1.304	0.633	354	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_355	1.585	0.065	0.01	2.559	0.181	355	0.05	12000	1000	1	500	111	1	0	1	446	447	1	1	0.198461045206797	257
Simulation_356	1.837	0.031	0.137	0.99	0.746	356	0.05	12000	1000	1	500	111	1	0	1	5	6	1	1	0.428983648605322	5
Simulation_357	2.843	0.077	0.065	2.245	0.294	357	0.05	12000	1000	1	500	111	1	0	1	63	63	0	1	0.19461365822379	34
Simulation_358	2.34	0.054	0.028	1.618	0.52	358	0.05	12000	1000	1	500	111	1	0	1	648	648	0	1	0.998717537672331	170
Simulation_359	1.334	0.099	0.101	2.873	0.972	359	0.05	12000	1000	1	500	111	1	0	1	1023	1023	0	1	0.945815966655979	593
Simulation_360	1.46	0.014	0.019	2.088	0.802	360	0.05	12000	1000	1	500	111	0	152	1	2250	2298	48	0	-1	-1
Simulation_361	2.466	0.06	0.092	0.833	0.351	361	0.05	12000	1000	1	500	111	1	0	1	41	41	0	1	0.622314844501443	23
Simulation_362	2.969	0.037	0.128	2.716	0.125	362	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_363	1.963	0.082	0.056	1.461	0.576	363	0.05	12000	1000	1	500	111	1	0	1	184	184	0	1	0.118627765309394	97
Simulation_364	1.711	0.048	0.11	1.775	0.238	364	0.05	12000	1000	1	500	111	1	0	1	32	32	0	1	0.181468419365181	26
Simulation_365	2.717	0.094	0.037	0.52	0.689	365	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.730362295607566	10
Simulation_366	2.214	0.026	0.074	2.402	0.915	366	0.05	12000	1000	1	500	111	1	0	1	255	258	3	1	0.020519397242706	-1
Simulation_367	1.208	0.071	0.147	1.147	0.464	367	0.05	12000	1000	1	500	111	0	97	1	1308	1316	8	1	0.921769798012183	548
Simulation_368	1.145	0.023	0.087	1.696	0.209	368	0.05	12000	1000	1	500	111	1	0	1	30	30	0	0	-1	-1
Simulation_369	2.151	0.068	0.015	2.951	0.661	369	0.05	12000	1000	1	500	111	1	0	1	129	129	0	1	0.729400448861815	59
Simulation_370	2.654	0.046	0.051	1.069	0.887	370	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.0564283424174415	2
Simulation_371	1.648	0.091	0.124	2.324	0.435	371	0.05	12000	1000	1	500	111	1	0	1	704	704	0	1	0.134658544405258	283
Simulation_372	1.9	0.034	0.033	1.382	1	372	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.430266110932991	8
Simulation_373	2.906	0.079	0.106	2.637	0.548	373	0.05	12000	1000	1	500	111	1	0	1	202	202	0	1	0.113497915998718	106
Simulation_374	2.403	0.012	0.142	0.755	0.322	374	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_375	1.397	0.057	0.069	2.01	0.774	375	0.05	12000	1000	1	500	111	1	0	1	564	564	0	1	0.997435075344662	211
Simulation_376	1.271	0.051	0.115	2.48	0.605	376	0.05	12000	1000	1	500	111	0	116	1	3284	3286	2	1	0.517152933632575	397
Simulation_377	2.277	0.096	0.042	1.225	0.153	377	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_378	2.78	0.029	0.006	1.853	0.379	378	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_379	1.774	0.074	0.078	0.598	0.831	379	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.565886502084001	4
Simulation_380	1.523	0.017	0.06	2.794	0.492	380	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_381	2.528	0.063	0.133	1.539	0.944	381	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.0865662071176659	5
Simulation_382	2.026	0.04	0.097	2.167	0.718	382	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_383	1.02	0.085	0.024	0.912	0.266	383	0.05	12000	1000	1	500	111	0	117	1	1299	1299	0	1	0.257454312279577	420
Simulation_384	1.012	0.025	0.068	2.314	0.672	384	0.05	12000	1000	1	500	111	0	239	1	2231	2237	6	0	-1	-1
Simulation_385	2.018	0.07	0.14	1.059	0.22	385	0.05	12000	1000	1	500	111	1	0	1	339	339	0	1	0.145880089772363	163
Simulation_386	2.521	0.047	0.104	2.941	0.446	386	0.05	12000	1000	1	500	111	1	0	1	16	16	0	1	0.170567489579994	12
Simulation_387	1.515	0.093	0.031	1.686	0.898	387	0.05	12000	1000	1	500	111	1	0	1	50	50	0	1	0.61205514588009	30
Simulation_388	1.766	0.036	0.122	2	0.333	388	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1
