Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_1	1.998	0.055	0.078	1.75	0.55	1	0.05	12000	1000	1	500	111	1	0	1	45	48	3	1	0.986534145559474	39
Simulation_2	2.501	0.032	0.114	1.123	0.776	2	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.209361974991985	3
Simulation_3	1.495	0.078	0.041	2.377	0.324	3	0.05	12000	1000	1	500	111	0	1	1	1576	1576	0	1	0.215453671048413	450
Simulation_4	1.747	0.044	0.096	0.809	0.889	4	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_5	2.752	0.089	0.023	2.064	0.437	5	0.05	12000	1000	1	500	111	1	0	1	208	208	0	1	0.133696697659506	111
Simulation_6	2.25	0.021	0.059	1.436	0.211	6	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_7	1.244	0.066	0.132	2.691	0.663	7	0.05	12000	1000	1	500	111	0	140	1	1531	1531	0	1	0.468098749599231	515
Simulation_8	1.369	0.038	0.05	2.221	0.606	8	0.05	12000	1000	1	500	111	1	0	1	705	705	0	1	0.407502404616864	259
Simulation_9	2.375	0.083	0.123	0.966	0.155	9	0.05	12000	1000	1	500	111	1	0	1	82	82	0	1	0.116383456235973	39
Simulation_10	2.878	0.015	0.087	2.848	0.381	10	0.05	12000	1000	1	500	111	1	0	1	12	14	2	0	-1	-1
Simulation_11	1.872	0.061	0.014	1.593	0.832	11	0.05	12000	1000	1	500	111	1	0	1	109	109	0	1	0.772683552420648	49
Simulation_12	1.621	0.027	0.141	1.907	0.494	12	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_13	2.627	0.072	0.068	0.652	0.945	13	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_14	2.124	0.049	0.032	2.534	0.719	14	0.05	12000	1000	1	500	111	1	0	1	65	65	0	1	0.978518756011542	56
Simulation_15	1.118	0.095	0.105	1.279	0.268	15	0.05	12000	1000	1	500	111	0	49	1	1455	1455	0	1	0.25585123436999	443
Simulation_16	1.181	0.052	0.128	1.515	0.352	16	0.05	12000	1000	1	500	111	0	16	1	2491	2493	2	1	0.480282141712087	1513
Simulation_17	2.187	0.097	0.055	2.77	0.804	17	0.05	12000	1000	1	500	111	1	0	1	317	317	0	1	0.323180506572619	188
Simulation_18	2.69	0.029	0.018	0.887	0.578	18	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_19	1.684	0.075	0.091	2.142	0.126	19	0.05	12000	1000	1	500	111	1	0	1	119	119	0	1	0.100673292722026	41
Simulation_20	1.935	0.018	0.073	1.201	0.691	20	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_21	2.941	0.063	0.146	2.456	0.239	21	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.0689323501122154	3
Simulation_22	2.438	0.041	0.109	0.574	0.465	22	0.05	12000	1000	1	500	111	1	0	1	4	5	1	1	0.273805706957358	4
Simulation_23	1.432	0.086	0.037	1.828	0.917	23	0.05	12000	1000	1	500	111	1	0	1	126	126	0	1	0.132734850913754	80
Simulation_24	1.306	0.024	0.082	2.613	0.861	24	0.05	12000	1000	1	500	111	0	25	1	1916	1947	31	1	0.130169926258416	613
Simulation_25	2.312	0.069	0.009	1.358	0.409	25	0.05	12000	1000	1	500	111	1	0	1	31	31	0	1	0.232766912471946	23
Simulation_26	2.815	0.046	0.046	1.985	0.183	26	0.05	12000	1000	1	500	111	1	0	1	34	34	0	1	0.167681949342738	22
Simulation_27	1.809	0.092	0.118	0.73	0.635	27	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.533183712728439	4
Simulation_28	1.558	0.035	0.027	2.926	0.296	28	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1
Simulation_29	2.564	0.08	0.1	1.672	0.748	29	0.05	12000	1000	1	500	111	1	0	1	28	28	0	1	0.10612375761462	18
Simulation_30	2.061	0.012	0.137	2.299	0.974	30	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_31	1.055	0.058	0.064	1.044	0.522	31	0.05	12000	1000	1	500	111	0	146	1	1603	1604	1	1	0.750561077268355	465
Simulation_32	1.086	0.034	0.093	1.946	0.734	32	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_33	2.092	0.079	0.021	0.691	0.282	33	0.05	12000	1000	1	500	111	1	0	1	240	240	0	1	0.594100673292722	135
Simulation_34	2.595	0.011	0.057	2.574	0.508	34	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_35	1.589	0.056	0.13	1.319	0.959	35	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.0644437319653735	2
Simulation_36	1.841	0.022	0.039	2.26	0.395	36	0.05	12000	1000	1	500	111	1	0	1	7	7	0	0	-1	-1
Simulation_37	2.847	0.068	0.112	1.005	0.846	37	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.484450144277012	3
Simulation_38	2.344	0.045	0.148	2.887	0.621	38	0.05	12000	1000	1	500	111	1	0	1	1638	1638	0	1	0.458800897723629	300
Simulation_39	1.338	0.09	0.075	1.632	0.169	39	0.05	12000	1000	1	500	111	0	113	1	1157	1157	0	1	0.15678101955755	386
Simulation_40	1.464	0.017	0.121	0.848	0.225	40	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_41	2.47	0.062	0.048	2.103	0.677	41	0.05	12000	1000	1	500	111	1	0	1	60	60	0	1	0.934915036870792	30
Simulation_42	2.972	0.039	0.012	1.475	0.903	42	0.05	12000	1000	1	500	111	1	0	1	31	31	0	1	0.558512343699904	18
Simulation_43	1.967	0.085	0.084	2.73	0.451	43	0.05	12000	1000	1	500	111	0	3	1	1144	1144	0	1	0.158704713049054	524
Simulation_44	1.715	0.051	0.066	0.534	0.79	44	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.525488938762424	5
Simulation_45	2.721	0.096	0.139	1.789	0.338	45	0.05	12000	1000	1	500	111	1	0	1	19	19	0	1	0.137544084642514	12
Simulation_46	2.218	0.028	0.103	1.162	0.112	46	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_47	1.212	0.073	0.03	2.417	0.564	47	0.05	12000	1000	1	500	111	0	84	1	1388	1388	0	1	0.31131773004168	588
Simulation_48	1.149	0.031	0.043	2.966	0.988	48	0.05	12000	1000	1	500	111	0	9	1	1783	1785	2	1	0.970182750881693	1695
Simulation_49	2.155	0.076	0.116	1.711	0.536	49	0.05	12000	1000	1	500	111	1	0	1	616	616	0	1	0.945495351074062	313
Simulation_50	2.658	0.053	0.08	2.338	0.31	50	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_51	1.652	0.099	0.007	1.083	0.762	51	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.150368707919205	7
Simulation_52	1.904	0.042	0.134	2.652	0.197	52	0.05	12000	1000	1	500	111	1	0	1	170	170	0	1	0.183712728438602	147
Simulation_53	2.91	0.087	0.062	1.397	0.649	53	0.05	12000	1000	1	500	111	1	0	1	23	23	0	1	0.12504007694774	16
Simulation_54	2.407	0.02	0.025	2.025	0.875	54	0.05	12000	1000	1	500	111	1	0	1	170	171	1	1	0.103879448541199	136
Simulation_55	1.401	0.065	0.098	0.77	0.423	55	0.05	12000	1000	1	500	111	1	0	1	335	339	4	1	0.994549535107406	210
Simulation_56	1.275	0.048	0.016	1.24	0.479	56	0.05	12000	1000	1	500	111	0	55	1	2701	2701	0	1	1	1427
Simulation_57	2.281	0.093	0.089	2.495	0.931	57	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.441808271882013	10
Simulation_58	2.784	0.025	0.125	0.613	0.705	58	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_59	1.778	0.07	0.052	1.868	0.254	59	0.05	12000	1000	1	500	111	0	43	1	1543	1543	0	1	0.144277011862777	447
Simulation_60	1.527	0.014	0.107	1.554	0.592	60	0.05	12000	1000	1	500	111	1	0	1	1569	1669	100	0	-1	-1
Simulation_61	2.532	0.059	0.034	2.809	0.141	61	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.189163193331196	5
Simulation_62	2.029	0.037	0.071	0.926	0.366	62	0.05	12000	1000	1	500	111	1	0	1	96	97	1	1	0.958319974350753	91
Simulation_63	1.024	0.082	0.143	2.181	0.818	63	0.05	12000	1000	1	500	111	0	131	1	1239	1244	5	1	0.962487976915678	524
Simulation_64	1.039	0.046	0.07	2.515	0.289	64	0.05	12000	1000	1	500	111	0	43	1	1674	1675	1	1	0.209682590573902	1546
Simulation_65	2.045	0.091	0.142	1.26	0.741	65	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.130490541840333	6
Simulation_66	2.548	0.023	0.106	1.887	0.966	66	0.05	12000	1000	1	500	111	1	0	1	84	87	3	0	-1	-1
Simulation_67	1.542	0.068	0.033	0.632	0.515	67	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_68	1.794	0.012	0.124	2.828	0.854	68	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_69	2.8	0.057	0.051	1.574	0.402	69	0.05	12000	1000	1	500	111	1	0	1	158	158	0	1	0.443731965373517	79
Simulation_70	2.297	0.034	0.015	2.201	0.176	70	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1
Simulation_71	1.291	0.08	0.088	0.946	0.628	71	0.05	12000	1000	1	500	111	1	0	1	141	141	0	1	0.884257774927862	103
Simulation_72	1.417	0.029	0.024	1.73	0.684	72	0.05	12000	1000	1	500	111	1	0	1	1673	1699	26	1	0.966655979480603	1202
Simulation_73	2.422	0.074	0.097	2.985	0.232	73	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_74	2.925	0.051	0.133	1.103	0.458	74	0.05	12000	1000	1	500	111	1	0	1	73	73	0	1	0.755690926579032	30
Simulation_75	1.919	0.097	0.06	2.358	0.91	75	0.05	12000	1000	1	500	111	1	0	1	55	55	0	1	0.539916639948702	36
Simulation_76	1.668	0.04	0.079	1.417	0.345	76	0.05	12000	1000	1	500	111	0	64	1	4406	4410	4	1	0.230522603398525	102
Simulation_77	2.674	0.085	0.006	2.672	0.797	77	0.05	12000	1000	1	500	111	1	0	1	209	209	0	1	0.124719461365822	95
Simulation_78	2.171	0.017	0.042	0.789	0.571	78	0.05	12000	1000	1	500	111	1	0	1	37	37	0	1	0.641872394998397	37
Simulation_79	1.165	0.063	0.115	2.044	0.119	79	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_80	1.228	0.02	0.101	2.123	0.543	80	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_81	2.234	0.066	0.029	0.868	0.995	81	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_82	2.737	0.043	0.065	2.75	0.769	82	0.05	12000	1000	1	500	111	1	0	1	463	464	1	1	0.935876883616544	89
Simulation_83	1.731	0.088	0.138	1.495	0.317	83	0.05	12000	1000	1	500	111	0	46	1	1323	1323	0	1	0.15806348188522	497
Simulation_84	1.982	0.054	0.01	1.809	0.656	84	0.05	12000	1000	1	500	111	1	0	1	591	591	0	1	0.995831997435075	181
Simulation_85	2.988	0.099	0.083	0.554	0.204	85	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.762744469381212	10
Simulation_86	2.485	0.032	0.12	2.436	0.43	86	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_87	1.479	0.077	0.047	1.181	0.882	87	0.05	12000	1000	1	500	111	1	0	1	30	30	0	1	0.118307149727477	24
Simulation_88	1.354	0.037	0.147	0.711	0.938	88	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_89	2.36	0.082	0.074	1.966	0.486	89	0.05	12000	1000	1	500	111	1	0	1	931	931	0	1	0.133376082077589	458
Simulation_90	2.862	0.015	0.038	1.338	0.261	90	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_91	1.857	0.06	0.11	2.593	0.712	91	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.140750240461686	2
Simulation_92	1.605	0.026	0.056	1.025	0.148	92	0.05	12000	1000	1	500	111	1	0	1	47	47	0	1	0.0269317088810516	2
Simulation_93	2.611	0.071	0.129	2.279	0.599	93	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.0926579031740943	2
Simulation_94	2.108	0.049	0.092	1.652	0.825	94	0.05	12000	1000	1	500	111	1	0	1	15	15	0	1	0.775889708239821	15
Simulation_95	1.102	0.094	0.02	2.907	0.374	95	0.05	12000	1000	1	500	111	0	144	1	1335	1335	0	1	0.164155177941648	404
Simulation_96	1.071	0.022	0.14	1.377	0.557	96	0.05	12000	1000	1	500	111	0	123	1	2421	2555	134	1	0.143315165117025	658
Simulation_97	2.077	0.067	0.067	2.632	0.105	97	0.05	12000	1000	1	500	111	1	0	1	27	27	0	1	0.0830394357165758	14
Simulation_98	2.58	0.044	0.031	0.75	0.331	98	0.05	12000	1000	1	500	111	1	0	1	43	44	1	1	0.882975312600192	28
Simulation_99	1.574	0.09	0.104	2.005	0.783	99	0.05	12000	1000	1	500	111	1	0	1	910	910	0	1	0.57197819814043	504
Simulation_100	1.825	0.033	0.049	1.691	0.444	100	0.05	12000	1000	1	500	111	1	0	1	744	746	2	1	0.154857326066047	93
Simulation_101	2.831	0.078	0.122	2.946	0.896	101	0.05	12000	1000	1	500	111	1	0	1	60	60	0	1	0.653414555947419	40
Simulation_102	2.328	0.01	0.085	1.064	0.67	102	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_103	1.322	0.056	0.013	2.319	0.218	103	0.05	12000	1000	1	500	111	1	0	1	259	259	0	1	0.191407502404617	106
Simulation_104	1.448	0.05	0.113	2.789	0.162	104	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_105	2.454	0.095	0.04	1.534	0.614	105	0.05	12000	1000	1	500	111	1	0	1	22	22	0	1	0.132734850913754	14
Simulation_106	2.957	0.027	0.076	2.162	0.839	106	0.05	12000	1000	1	500	111	1	0	1	140	141	1	1	0.00833600512984931	2
Simulation_107	1.951	0.073	0.149	0.907	0.388	107	0.05	12000	1000	1	500	111	1	0	1	94	95	1	1	0.790958640589933	56
Simulation_108	1.699	0.016	0.022	2.475	0.952	108	0.05	12000	1000	1	500	111	1	0	1	23	25	2	0	-1	-1
Simulation_109	2.705	0.061	0.095	1.221	0.501	109	0.05	12000	1000	1	500	111	1	0	1	89	90	1	1	0.718499519076627	53
Simulation_110	2.202	0.039	0.131	1.848	0.275	110	0.05	12000	1000	1	500	111	1	0	1	95	95	0	1	0.174735492144918	67
Simulation_111	1.196	0.084	0.058	0.593	0.726	111	0.05	12000	1000	1	500	111	1	0	1	9	9	0	1	0.63674254568772	9
Simulation_112	1.134	0.041	0.035	0.985	0.811	112	0.05	12000	1000	1	500	111	1	0	1	395	396	1	1	0.897082398204553	187
Simulation_113	2.139	0.087	0.108	2.24	0.359	113	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_114	2.642	0.019	0.145	1.613	0.134	114	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_115	1.637	0.064	0.072	2.868	0.585	115	0.05	12000	1000	1	500	111	0	123	1	1954	1954	0	1	0.415517794164796	610
Simulation_116	1.888	0.03	0.09	0.672	0.246	116	0.05	12000	1000	1	500	111	1	0	1	1522	1534	12	1	0.431227957678743	116
Simulation_117	2.894	0.075	0.017	1.926	0.698	117	0.05	12000	1000	1	500	111	1	0	1	96	96	0	1	0.154216094902212	45
Simulation_118	2.391	0.053	0.054	1.299	0.924	118	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.0628406540557871	4
Simulation_119	1.385	0.098	0.126	2.554	0.472	119	0.05	12000	1000	1	500	111	0	22	1	1252	1252	0	1	0.163513946777813	526
Simulation_120	1.259	0.013	0.063	1.77	0.416	120	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_121	2.265	0.058	0.136	0.515	0.868	121	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_122	2.768	0.036	0.099	2.397	0.642	122	0.05	12000	1000	1	500	111	1	0	1	105	105	0	1	0.788393715934594	93
Simulation_123	1.762	0.081	0.026	1.142	0.19	123	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.206155819172812	7
Simulation_124	1.511	0.047	0.117	2.083	0.755	124	0.05	12000	1000	1	500	111	0	119	1	2256	2262	6	1	0.5825585123437	375
Simulation_125	2.517	0.092	0.045	0.828	0.303	125	0.05	12000	1000	1	500	111	1	0	1	60	60	0	1	0.43283103558833	35
Simulation_126	2.014	0.024	0.008	2.711	0.529	126	0.05	12000	1000	1	500	111	1	0	1	21	21	0	0	-1	-1
Simulation_127	1.008	0.07	0.081	1.456	0.981	127	0.05	12000	1000	1	500	111	1	0	1	258	261	3	1	0.931067649887785	143
Simulation_128	1.016	0.04	0.119	2.858	0.518	128	0.05	12000	1000	1	500	111	0	107	1	1656	1659	3	1	0.236934915036871	1582
Simulation_129	2.022	0.085	0.046	1.603	0.97	129	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.132734850913754	3
Simulation_130	2.525	0.017	0.01	2.23	0.744	130	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_131	1.519	0.062	0.083	0.975	0.292	131	0.05	12000	1000	1	500	111	0	77	1	1407	1407	0	1	0.398204552741263	561
Simulation_132	1.77	0.028	0.064	2.544	0.631	132	0.05	12000	1000	1	500	111	1	0	1	400	401	1	1	0.0298172491183071	6
Simulation_133	2.776	0.074	0.137	1.289	0.179	133	0.05	12000	1000	1	500	111	1	0	1	57	57	0	1	0.12856684834883	28
Simulation_134	2.273	0.051	0.101	1.917	0.405	134	0.05	12000	1000	1	500	111	1	0	1	15	15	0	1	0.180185957037512	10
Simulation_135	1.267	0.096	0.028	0.662	0.857	135	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.621673613337608	2
Simulation_136	1.393	0.011	0.092	1.132	0.914	136	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_137	2.399	0.057	0.019	2.387	0.462	137	0.05	12000	1000	1	500	111	1	0	1	84	84	0	1	0.345302981724912	56
Simulation_138	2.902	0.034	0.055	0.505	0.236	138	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.326386662391792	3
Simulation_139	1.896	0.079	0.128	1.76	0.688	139	0.05	12000	1000	1	500	111	1	0	1	49	49	0	1	0.404937479961526	26
Simulation_140	1.644	0.045	0.037	1.446	0.123	140	0.05	12000	1000	1	500	111	1	0	1	405	405	0	1	0.199422891952549	382
Simulation_141	2.65	0.091	0.11	2.701	0.575	141	0.05	12000	1000	1	500	111	1	0	1	29	29	0	1	0.133055466495672	18
Simulation_142	2.147	0.023	0.146	0.819	0.801	142	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_143	1.141	0.068	0.074	2.074	0.349	143	0.05	12000	1000	1	500	111	0	102	1	1538	1538	0	1	0.218018595703751	356
Simulation_144	1.204	0.026	0.014	1.995	0.321	144	0.05	12000	1000	1	500	111	1	0	1	59	60	1	0	-1	-1
Simulation_145	2.21	0.071	0.087	0.74	0.772	145	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_146	2.713	0.048	0.124	2.623	0.998	146	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_147	1.707	0.093	0.051	1.368	0.546	147	0.05	12000	1000	1	500	111	1	0	1	652	652	0	1	0.696697659506252	352
Simulation_148	1.959	0.037	0.105	2.309	0.885	148	0.05	12000	1000	1	500	111	1	0	1	90	91	1	1	0.533824943892273	49
Simulation_149	2.965	0.082	0.033	1.054	0.434	149	0.05	12000	1000	1	500	111	1	0	1	57	57	0	1	0.115100993908304	29
Simulation_150	2.462	0.014	0.069	2.936	0.208	150	0.05	12000	1000	1	500	111	1	0	1	13	20	7	0	-1	-1
Simulation_151	1.456	0.06	0.142	1.681	0.659	151	0.05	12000	1000	1	500	111	1	0	1	6	6	0	1	0.151009939083039	6
Simulation_152	1.33	0.054	0.042	0.897	0.716	152	0.05	12000	1000	1	500	111	1	0	1	45	45	0	1	0.595383135620391	28
Simulation_153	2.336	0.099	0.114	2.152	0.264	153	0.05	12000	1000	1	500	111	1	0	1	86	86	0	1	0.140750240461686	60
Simulation_154	2.839	0.031	0.078	1.525	0.49	154	0.05	12000	1000	1	500	111	1	0	1	64	65	1	1	0.151651170246874	42
Simulation_155	1.833	0.076	0.005	2.779	0.942	155	0.05	12000	1000	1	500	111	1	0	1	87	87	0	1	0.237255530618788	32
Simulation_156	1.582	0.02	0.133	0.583	0.377	156	0.05	12000	1000	1	500	111	1	0	1	7	8	1	1	0.314203270278936	7
Simulation_157	2.587	0.065	0.06	1.838	0.829	157	0.05	12000	1000	1	500	111	1	0	1	22	22	0	1	0.0884899006091696	12
Simulation_158	2.084	0.043	0.023	1.211	0.603	158	0.05	12000	1000	1	500	111	1	0	1	2224	2225	1	1	0.991663994870151	493
Simulation_159	1.079	0.088	0.096	2.466	0.151	159	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_160	1.11	0.016	0.053	1.485	0.786	160	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_161	2.116	0.061	0.126	2.74	0.335	161	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_162	2.619	0.038	0.089	0.858	0.109	162	0.05	12000	1000	1	500	111	1	0	1	39	39	0	1	0.164475793523565	34
Simulation_163	1.613	0.084	0.017	2.113	0.561	163	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_164	1.864	0.05	0.144	1.172	0.222	164	0.05	12000	1000	1	500	111	1	0	1	60	60	0	1	0.285027252324463	46
Simulation_165	2.87	0.095	0.071	2.426	0.674	165	0.05	12000	1000	1	500	111	1	0	1	193	193	0	1	0.141712087207438	117
Simulation_166	2.367	0.027	0.035	0.544	0.899	166	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_167	1.361	0.072	0.108	1.799	0.448	167	0.05	12000	1000	1	500	111	0	40	1	1436	1436	0	1	0.274446938121193	502
Simulation_168	1.487	0.033	0.008	2.583	0.391	168	0.05	12000	1000	1	500	111	1	0	1	10	10	0	0	-1	-1
Simulation_169	2.493	0.078	0.08	1.328	0.843	169	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.348188521962167	7
Simulation_170	2.996	0.01	0.117	1.956	0.617	170	0.05	12000	1000	1	500	111	1	0	1	4	8	4	0	-1	-1
Simulation_171	1.99	0.055	0.044	0.701	0.165	171	0.05	12000	1000	1	500	111	1	0	1	311	311	0	1	0.986854761141391	195
Simulation_172	1.739	0.021	0.099	2.897	0.73	172	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_173	2.745	0.067	0.026	1.642	0.278	173	0.05	12000	1000	1	500	111	1	0	1	59	59	0	1	0.0843218980442449	24
Simulation_174	2.242	0.044	0.062	2.27	0.504	174	0.05	12000	1000	1	500	111	1	0	1	190	190	0	1	0.488938762423854	107
Simulation_175	1.236	0.089	0.135	1.015	0.956	175	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_176	1.173	0.047	0.085	0.623	0.589	176	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.291439563962809	6
Simulation_177	2.179	0.092	0.012	1.877	0.137	177	0.05	12000	1000	1	500	111	0	83	1	1264	1265	1	1	0.159666559794806	582
Simulation_178	2.682	0.024	0.048	1.25	0.363	178	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_179	1.676	0.069	0.121	2.505	0.815	179	0.05	12000	1000	1	500	111	1	0	1	207	207	0	1	0.808271882013466	114
Simulation_180	1.927	0.013	0.03	0.936	0.476	180	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_181	2.933	0.058	0.103	2.191	0.928	181	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.0708560436037191	7
Simulation_182	2.43	0.035	0.139	1.564	0.702	182	0.05	12000	1000	1	500	111	1	0	1	223	223	0	1	0.218018595703751	37
Simulation_183	1.424	0.081	0.067	2.819	0.25	183	0.05	12000	1000	1	500	111	0	126	1	1352	1353	1	1	0.160307790958641	439
Simulation_184	1.299	0.03	0.13	2.348	0.194	184	0.05	12000	1000	1	500	111	1	0	1	10	11	1	0	-1	-1
Simulation_185	2.305	0.075	0.058	1.093	0.645	185	0.05	12000	1000	1	500	111	1	0	1	15	15	0	1	0.0997114459762744	8
Simulation_186	2.807	0.052	0.021	2.975	0.871	186	0.05	12000	1000	1	500	111	1	0	1	161	161	0	1	0.987175376723309	47
Simulation_187	1.802	0.098	0.094	1.721	0.419	187	0.05	12000	1000	1	500	111	1	0	1	454	454	0	1	0.143635780698942	244
Simulation_188	1.55	0.041	0.076	2.034	0.984	188	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.524527092016672	12
Simulation_189	2.556	0.086	0.149	0.779	0.532	189	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_190	2.053	0.018	0.112	2.662	0.306	190	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_191	1.047	0.064	0.039	1.407	0.758	191	0.05	12000	1000	1	500	111	0	83	1	1488	1488	0	1	0.992625841615903	477
Simulation_192	1.031	0.028	0.111	1.113	0.328	192	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_193	2.037	0.073	0.038	2.368	0.779	193	0.05	12000	1000	1	500	111	1	0	1	334	334	0	1	0.570054504648926	172
Simulation_194	2.54	0.05	0.075	1.74	0.554	194	0.05	12000	1000	1	500	111	1	0	1	319	319	0	1	0.983327989740301	82
Simulation_195	1.534	0.096	0.147	2.995	0.102	195	0.05	12000	1000	1	500	111	1	0	1	75	75	0	1	0.1391471625521	42
Simulation_196	1.786	0.039	0.02	0.799	0.666	196	0.05	12000	1000	1	500	111	1	0	1	8	9	1	1	0.152613016992626	6
Simulation_197	2.792	0.084	0.093	2.054	0.215	197	0.05	12000	1000	1	500	111	1	0	1	53	53	0	1	0.1131773004168	21
Simulation_198	2.289	0.016	0.129	1.426	0.441	198	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_199	1.283	0.062	0.056	2.681	0.892	199	0.05	12000	1000	1	500	111	0	89	1	1480	1480	0	1	0.982686758576467	460
Simulation_200	1.409	0.045	0.138	1.897	0.836	200	0.05	12000	1000	1	500	111	1	0	1	26	27	1	1	0.755690926579032	26
Simulation_201	2.415	0.09	0.066	0.642	0.384	201	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.564604039756332	3
Simulation_202	2.917	0.022	0.029	2.525	0.158	202	0.05	12000	1000	1	500	111	1	0	1	5	5	0	0	-1	-1
Simulation_203	1.912	0.067	0.102	1.27	0.61	203	0.05	12000	1000	1	500	111	1	0	1	71	71	0	1	0.852516832318051	38
